gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
ENSG00000100721,1.4392010815494908e-35,3.44415357304677e-34,46,0.001,8.333589248728217,3.053646211608622e-13,6.821878535289077,8.985763031544702e-12,19.312466625799445,19.312466625799445,0.42990654205607476,1.0,3.260763577598825e-31,7,1,1,1.0
ENSG00000156738,1.3235525005081413e-54,2.5727689103497133e-53,69,0.001,11.316672342023438,5.915359199575078e-20,10.056968959176302,8.559304544262787e-24,8.578433944065402,8.578433944065402,0.6355140186915887,0.9974554707379135,4.2626103082839575e-50,4,7,2,1.0
ENSG00000247982,1.8365620395012248e-30,4.3285523326400854e-29,40,0.001,7.55645775198952,1.5493188896872875e-11,5.932068291555719,2.991421426004087e-09,18.77054052241825,18.77054052241825,0.37383177570093457,1.0,2.868649682267839e-26,10,2,3,1.0
ENSG00000105369,1.566722750774831e-78,1.4910247664129566e-77,119,0.001,23.231324119945015,1.0937102976073014e-44,14.706774651832127,5.832165937323363e-49,5.15441069322064,5.15441069322064,0.9439252336448598,0.9541984732824428,9.881427770136777e-74,1,11,4,1.0
ENSG00000007312,4.965777187504463e-74,4.488829776652655e-73,125,0.001,21.011643072714325,1.3837124387032719e-40,14.616208723716772,2.2139005718741636e-48,4.793627205155884,4.793627205155884,0.9439252336448598,0.9389312977099237,1.4874349578089935e-69,2,14,5,1.0
ENSG00000128218,1.4246776469148018e-30,3.4239390378064e-29,43,0.001,7.467103496373892,2.387778740321486e-11,6.193200050954991,5.895482439886051e-10,7.6001758989198445,7.6001758989198445,0.3925233644859813,0.9974554707379135,2.521264200566531e-26,9,8,6,1.0
ENSG00000104921,1.4856503064381542e-25,3.6803063725341855e-24,34,0.001,6.753327354506549,8.002618888097795e-10,5.0422580478223615,4.6007028797969233e-07,18.45725838048221,18.45725838048221,0.3177570093457944,1.0,1.4347290618061079e-21,17,3,7,1.0
ENSG00000136573,1.3306965625800861e-21,3.476135299071553e-20,29,0.001,6.090835736293764,1.8330070994375753e-08,4.300749511377896,1.702213879624099e-05,18.152189313951038,18.152189313951038,0.27102803738317754,1.0,1.0016215940803012e-17,21,4,8,1.0
ENSG00000254709,3.9931522969350473e-22,9.766770360064488e-21,35,0.001,5.6634581782737445,1.2760457715816994e-07,4.8252771783793245,1.3980869320229027e-06,6.8202136794701635,6.8202136794701635,0.308411214953271,0.9949109414758269,3.0822405162281437e-18,20,9,9,1.0
ENSG00000224137,5.189268346967877e-17,1.2086099248629448e-15,23,0.001,5.1780371211652065,1.0731567225525046e-06,3.4109392676445385,0.0006473950980917236,17.940971709416555,17.940971709416555,0.21495327102803738,1.0,2.583802449340431e-13,27,5,10,1.0
ENSG00000177455,1.6253697117078782e-15,3.5976764766558934e-14,21,0.001,4.957577101694192,2.7239477840561604e-06,3.1143358530667524,0.0018435950574427534,17.734831581110054,17.734831581110054,0.19626168224299065,1.0,7.225085816755225e-12,28,6,11,1.0
ENSG00000231389,2.088023971081906e-37,4.7879313976693336e-36,134,1.5859625007211597,15.34495766983067,7.510021647224743e-35,11.692061319692264,1.3994812218563645e-31,1.9211308696209142,1.9211308696209142,0.7476635514018691,0.8625954198473282,5.2884878619711275e-33,6,30,12,1.0
ENSG00000269404,2.304590028410108e-20,5.203047208757637e-19,35,0.001,6.2432845929863605,8.388951397837604e-09,4.616598185680195,3.900815074557194e-06,5.020005157524597,5.020005157524597,0.29906542056074764,0.9923664122137404,1.3792805146124791e-16,23,13,13,1.0
