,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
536953,ENSG00000204472,ENSG00000251562,2.809879529047408e-64,0.7840909090909091,0.9951456310679612,8.720844283788957e-60,1,0.636879925351199,0.13087992535119897,5,1,1.0
457443,ENSG00000169567,ENSG00000125691,1.0405108302576031e-55,0.6931818181818182,0.9975728155339806,8.498334867223583e-53,38,0.3475020508708737,0.07150205087087369,38,2,1.0
448547,ENSG00000186468,ENSG00000196531,1.4324763862265335e-56,0.7386363636363636,0.9902912621359223,1.5638029879378877e-53,27,0.30207082881851866,0.06207082881851866,77,3,1.0
374320,ENSG00000163682,ENSG00000186468,4.663816280115557e-53,0.6818181818181818,0.9951456310679612,1.37855140955104e-50,100,0.3675333791916757,0.0755333791916757,24,4,1.0
448241,ENSG00000186468,ENSG00000198034,3.9611606452374826e-54,0.7159090909090909,0.9902912621359223,1.679489241530112e-51,67,0.3222614771951855,0.0662614771951855,58,5,1.0
448066,ENSG00000186468,ENSG00000204628,6.1689555424528405e-53,0.6931818181818182,0.9927184466019418,1.5820109973039187e-50,114,0.34994509028759735,0.07194509028759732,34,6,1.0
448308,ENSG00000186468,ENSG00000104408,6.1689555424528405e-53,0.6931818181818182,0.9927184466019418,1.5820109973039187e-50,115,0.3499005610255109,0.07190056102551082,35,7,1.0
366306,ENSG00000182899,ENSG00000204628,1.6051514610297936e-54,0.6818181818181818,0.9975728155339806,9.580397006915587e-52,49,0.2820278387966213,0.058027838796621406,102,8,1.0
448094,ENSG00000186468,ENSG00000204472,6.972942326004347e-57,0.7613636363636364,0.9854368932038835,9.409337984576618e-54,23,0.26677859058935793,0.05477859058935795,128,9,1.0
448612,ENSG00000186468,ENSG00000133112,6.1689555424528405e-53,0.6931818181818182,0.9927184466019418,1.5820109973039187e-50,116,0.3498367550265904,0.07183675502659032,36,10,1.0
366290,ENSG00000182899,ENSG00000181163,6.517201140361738e-57,0.7045454545454546,0.9975728155339806,9.409337984576618e-54,21,0.26187574389362256,0.053875743893622555,134,11,1.0
366183,ENSG00000182899,ENSG00000163682,2.3956188180441227e-53,0.6704545454545454,0.9975728155339806,8.851344853682505e-51,80,0.2920846095112868,0.06008460951128687,90,12,1.0
407235,ENSG00000109475,ENSG00000186468,3.4948626356427316e-53,0.7272727272727273,0.9854368932038835,1.166320727085463e-50,89,0.2970140581038533,0.06101405810385322,82,13,1.0
456730,ENSG00000169567,ENSG00000204472,2.1300247539166377e-54,0.7386363636363636,0.9854368932038835,1.2019676875820498e-51,54,0.26942489957254934,0.05542489957254926,119,14,1.0
325159,ENSG00000114391,ENSG00000186468,3.4948626356427316e-53,0.7272727272727273,0.9854368932038835,1.166320727085463e-50,90,0.29700075715543794,0.06100075715543779,83,15,1.0
197130,ENSG00000143947,ENSG00000186468,6.21868411945477e-53,0.7045454545454546,0.9902912621359223,1.5820109973039187e-50,122,0.3322351651740967,0.06823516517409652,53,16,1.0
