,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
24239,ENSG00000227507,ENSG00000111716,ENSG00000156508,ENSG00000198851,1.34484501305653e-32,0.40594059405940597,1.0,1
56224,ENSG00000198851,ENSG00000156508,ENSG00000111716,ENSG00000227507,1.34484501305653e-32,0.40594059405940597,1.0,2
21776,ENSG00000227507,ENSG00000156508,ENSG00000111716,ENSG00000198851,1.34484501305653e-32,0.40594059405940597,1.0,3
32347,ENSG00000156508,ENSG00000198851,ENSG00000111716,ENSG00000227507,1.34484501305653e-32,0.40594059405940597,1.0,4
21713,ENSG00000227507,ENSG00000156508,ENSG00000198851,ENSG00000111716,1.34484501305653e-32,0.40594059405940597,1.0,5
23075,ENSG00000227507,ENSG00000198851,ENSG00000111716,ENSG00000156508,1.34484501305653e-32,0.40594059405940597,1.0,6
30638,ENSG00000156508,ENSG00000227507,ENSG00000198851,ENSG00000111716,1.34484501305653e-32,0.40594059405940597,1.0,7
30701,ENSG00000156508,ENSG00000227507,ENSG00000111716,ENSG00000198851,1.34484501305653e-32,0.40594059405940597,1.0,8
55877,ENSG00000198851,ENSG00000227507,ENSG00000111716,ENSG00000156508,1.34484501305653e-32,0.40594059405940597,1.0,9
22949,ENSG00000227507,ENSG00000198851,ENSG00000156508,ENSG00000111716,1.34484501305653e-32,0.40594059405940597,1.0,10
24302,ENSG00000227507,ENSG00000111716,ENSG00000198851,ENSG00000156508,1.34484501305653e-32,0.40594059405940597,1.0,11
61115,ENSG00000198851,ENSG00000051523_negation,ENSG00000196154_negation,ENSG00000251562_negation,1.014145419682071e-31,0.39603960396039606,1.0,12
21732,ENSG00000227507,ENSG00000156508,ENSG00000167286,ENSG00000198851,1.014145419682071e-31,0.39603960396039606,1.0,13
56180,ENSG00000198851,ENSG00000156508,ENSG00000167286,ENSG00000227507,1.014145419682071e-31,0.39603960396039606,1.0,14
23378,ENSG00000227507,ENSG00000167286,ENSG00000156508,ENSG00000198851,1.014145419682071e-31,0.39603960396039606,1.0,15
61157,ENSG00000198851,ENSG00000051523_negation,ENSG00000251562_negation,ENSG00000196154_negation,1.014145419682071e-31,0.39603960396039606,1.0,16
23031,ENSG00000227507,ENSG00000198851,ENSG00000167286,ENSG00000156508,1.014145419682071e-31,0.39603960396039606,1.0,17
32691,ENSG00000156508,ENSG00000167286,ENSG00000198851,ENSG00000227507,1.014145419682071e-31,0.39603960396039606,1.0,18
60176,ENSG00000198851,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000251562_negation,1.014145419682071e-31,0.39603960396039606,1.0,19
102575,ENSG00000196154_negation,ENSG00000198851,ENSG00000251562_negation,ENSG00000051523_negation,1.014145419682071e-31,0.39603960396039606,1.0,20
23441,ENSG00000227507,ENSG00000167286,ENSG00000198851,ENSG00000156508,1.014145419682071e-31,0.39603960396039606,1.0,21
22947,ENSG00000227507,ENSG00000198851,ENSG00000156508,ENSG00000167286,1.014145419682071e-31,0.39603960396039606,1.0,22
102596,ENSG00000196154_negation,ENSG00000198851,ENSG00000051523_negation,ENSG00000251562_negation,1.014145419682071e-31,0.39603960396039606,1.0,23
30657,ENSG00000156508,ENSG00000227507,ENSG00000167286,ENSG00000198851,1.014145419682071e-31,0.39603960396039606,1.0,24
55833,ENSG00000198851,ENSG00000227507,ENSG00000167286,ENSG00000156508,1.014145419682071e-31,0.39603960396039606,1.0,25
109040,ENSG00000251562_negation,ENSG00000198851,ENSG00000051523_negation,ENSG00000196154_negation,1.014145419682071e-31,0.39603960396039606,1.0,26
60782,ENSG00000198851,ENSG00000251562_negation,ENSG00000196154_negation,ENSG00000051523_negation,1.014145419682071e-31,0.39603960396039606,1.0,27
21711,ENSG00000227507,ENSG00000156508,ENSG00000198851,ENSG00000167286,1.014145419682071e-31,0.39603960396039606,1.0,28
60845,ENSG00000198851,ENSG00000251562_negation,ENSG00000051523_negation,ENSG00000196154_negation,1.014145419682071e-31,0.39603960396039606,1.0,29
32303,ENSG00000156508,ENSG00000198851,ENSG00000167286,ENSG00000227507,1.014145419682071e-31,0.39603960396039606,1.0,30
30636,ENSG00000156508,ENSG00000227507,ENSG00000198851,ENSG00000167286,1.014145419682071e-31,0.39603960396039606,1.0,31
56229,ENSG00000198851,ENSG00000156508,ENSG00000111716,ENSG00000167286,7.540661910864367e-31,0.38613861386138615,1.0,32
33534,ENSG00000156508,ENSG00000111716,ENSG00000167286,ENSG00000198851,7.540661910864367e-31,0.38613861386138615,1.0,33
61101,ENSG00000198851,ENSG00000051523_negation,ENSG00000196154_negation,ENSG00000227507,7.540661910864367e-31,0.38613861386138615,1.0,34
26682,ENSG00000227507,ENSG00000196154_negation,ENSG00000051523_negation,ENSG00000198851,7.540661910864367e-31,0.38613861386138615,1.0,35
23199,ENSG00000227507,ENSG00000198851,ENSG00000196154_negation,ENSG00000051523_negation,7.540661910864367e-31,0.38613861386138615,1.0,36
27885,ENSG00000227507,ENSG00000051523_negation,ENSG00000196154_negation,ENSG00000198851,7.540661910864367e-31,0.38613861386138615,1.0,37
32352,ENSG00000156508,ENSG00000198851,ENSG00000111716,ENSG00000167286,7.540661910864367e-31,0.38613861386138615,1.0,38
27717,ENSG00000227507,ENSG00000051523_negation,ENSG00000198851,ENSG00000196154_negation,7.540661910864367e-31,0.38613861386138615,1.0,39
32698,ENSG00000156508,ENSG00000167286,ENSG00000198851,ENSG00000111716,7.540661910864367e-31,0.38613861386138615,1.0,40
56001,ENSG00000198851,ENSG00000227507,ENSG00000196154_negation,ENSG00000051523_negation,7.540661910864367e-31,0.38613861386138615,1.0,41
101904,ENSG00000196154_negation,ENSG00000227507,ENSG00000051523_negation,ENSG00000198851,7.540661910864367e-31,0.38613861386138615,1.0,42
