killC_1.txt	killC_10.txt	killC_11.txt	killC_12.txt	killC_13.txt	killC_14.txt	killC_15.txt	killC_16.txt	killC_17.txt	killC_18.txt	killC_19.txt	killC_2.txt	killC_20.txt	killC_21.txt	killC_22.txt	killC_23.txt	killC_24.txt	killC_25.txt	killC_26.txt	killC_27.txt	killC_28.txt	killC_29.txt	killC_3.txt	killC_30.txt	killC_31.txt	killC_32.txt	killC_33.txt	killC_34.txt	killC_35.txt	killC_36.txt	killC_37.txt	killC_38.txt	killC_39.txt	killC_4.txt	killC_40.txt	killC_5.txt	killC_6.txt	killC_7.txt	killC_8.txt	killC_9.txt
215	376	431	101	481	214	421	90	484	264	115	249	337	126	128	81	230	416	371	396	98	162	470	460	395	190	337	111	193	471	150	440	89	170	478	1	97	76	318	335
301	474	239	17	447	362	14	471	1	136	349	455	349	99	87	304	479	273	396	382	35	495	222	9	251	28	42	234	114	426	396	45	400	63	342	59	37	284	38	110
307	472	287	318	164	471	343	61	177	147	464	433	126	328	203	189	266	130	421	238	217	56	410	94	483	458	242	495	96	46	292	364	231	245	471	363	311	316	29	87
404	325	241	440	401	359	387	359	451	42	451	144	418	120	255	171	288	5	452	465	31	110	475	466	476	57	409	270	128	447	397	311	406	184	288	329	320	410	72	467
268	365	466	474	227	256	208	301	21	244	231	427	115	439	152	196	216	14	97	419	255	264	6	430	247	364	86	364	295	307	336	86	209	319	413	93	106	117	101	142
116	46	214	110	22	446	30	481	379	50	42	103	315	407	272	487	213	212	198	481	8	205	336	42	327	256	310	91	290	54	112	352	422	395	475	415	71	337	5	357
409	128	247	493	190	95	340	489	298	164	111	230	473	232	354	198	259	85	349	156	361	380	61	198	416	436	163	51	107	17	200	200	412	297	483	472	72	312	344	409
360	329	60	253	365	467	300	432	474	218	485	174	319	392	404	450	382	163	426	444	435	279	264	104	330	326	178	344	425	353	426	127	66	36	45	130	437	162	45	208
52	414	50	112	302	81	441	202	6	285	404	6	314	494	413	90	242	231	475	142	410	224	235	401	248	354	6	390	134	158	351	137	288	11	445	192	304	88	74	428
388	148	152	465	420	371	349	128	211	298	163	287	344	273	405	424	212	376	49	53	10	48	457	113	235	277	500	34	64	370	241	389	307	135	378	139	230	396	196	24
128	51	97	219	171	261	137	96	369	161	407	418	465	245	471	107	156	278	271	120	477	271	248	86	39	373	181	65	37	186	381	145	47	13	208	236	75	39	54	359
187	450	32	494	208	259	345	148	402	94	378	170	340	422	132	63	297	149	93	248	102	15	35	48	366	53	395	134	22	265	56	482	212	403	462	405	17	119	92	120
440	396	9	80	98	247	64	496	90	172	138	211	352	265	452	484	113	277	18	418	492	42	175	489	308	413	317	319	153	414	323	362	145	259	158	19	177	390	66	147
36	245	242	243	93	14	357	408	72	367	39	478	289	137	116	170	460	47	459	29	23	171	313	142	304	329	243	447	460	275	359	100	28	127	246	154	84	365	401	76
112	330	439	414	257	352	448	384	305	307	460	236	179	483	382	151	51	327	45	301	440	195	45	117	181	55	322	108	45	475	59	186	370	464	395	41	474	275	36	122
318	201	445	285	181	47	411	248	121	97	353	254	170	353	42	48	357	279	428	298	430	348	363	183	54	30	88	431	253	226	210	457	500	174	160	382	351	70	421	243
209	477	245	497	72	351	207	377	352	268	238	107	259	140	326	379	61	438	292	353	275	288	64	206	262	198	172	461	55	230	492	368	236	129	181	364	392	240	35	304
95	118	376	16	295	196	453	351	182	499	314	53	400	26	150	177	337	453	293	294	142	453	173	379	287	367	463	3	288	175	479	497	100	110	35	95	425	448	342	472
200	106	161	411	466	172	325	67	262	81	158	82	342	74	475	25	315	102	208	143	454	412	48	389	434	111	238	35	453	41	338	211	311	470	191	100	101	94	50	398
427	208	462	447	228	164	179	339	113	473	482	446	280	444	287	57	302	69	461	98	128	183	73	468	316	91	324	48	486	119	172	96	141	64	32	218	111	489	198	200
323	187	165	360	383	411	91	152	420	227	399	51	58	430	148	193	369	144	173	208	171	74	370	471	380	204	450	26	51	404	367	499	173	400	124	156	234	233	134	253
140	156	243	383	258	159	334	361	272	116	477	335	226	145	251	124	413	400	367	469	316	350	111	487	479	97	486	406	411	254	348	24	143	494	51	89	57	298	238	172
344	246	463	459	116	269	45	307	320	2	44	479	446	80	8	268	322	450	174	413	396	147	383	210	108	195	336	480	66	276	63	453	203	444	123	88	143	354	301	345
349	270	65	147	189	155	332	433	469	168	243	275	83	217	431	97	124	397	327	453	499	58	389	216	400	93	329	437	116	7	60	315	487	74	144	152	341	143	91	430
126	144	387	233	80	119	352	334	493	1	286	146	498	338	415	303	201	242	287	198	351	399	94	181	315	332	270	85	371	328	239	494	312	188	18	257	407	120	167	111
244	125	409	78	128	163	167	349	15	446	159	278	64	28	26	199	119	392	84	325	485	91	184	75	439	233	360	327	220	124	427	336	91	331	276	225	418	456	320	468
11	470	67	425	178	201	215	273	172	488	434	295	464	364	145	493	495	127	429	179	284	430	143	105	172	132	333	427	495	339	16	461	38	244	390	437	469	253	158	313
8	462	47	442	303	418	11	124	142	104	70	147	124	347	500	166	463	105	405	216	134	129	192	361	79	187	290	186	227	134	264	331	332	343	190	297	416	58	13	485
486	323	86	345	179	207	324	56	338	240	268	126	194	84	260	444	433	295	247	286	442	290	339	84	352	16	313	21	355	401	273	391	250	476	315	338	414	7	370	320
20	134	322	143	236	437	466	218	165	431	478	388	249	94	14	307	47	333	282	462	190	227	220	2	224	320	216	224	498	302	198	291	52	317	340	447	406	34	406	130
324	327	147	176	91	263	164	172	138	490	141	9	35	207	295	414	173	285	196	218	388	19	112	224	413	40	39	442	312	262	67	246	258	154	214	321	141	98	76	6
465	68	458	167	255	296	474	469	31	333	245	304	391	249	297	421	328	114	176	391	5	159	9	163	351	335	260	284	338	227	61	266	221	105	449	464	134	333	378	47
296	19	469	66	353	66	291	263	360	21	449	377	198	400	356	365	132	487	424	211	292	16	247	329	424	36	200	66	436	98	227	285	367	437	153	439	50	16	142	260
386	471	407	394	346	438	423	399	299	487	17	239	195	477	224	47	142	368	10	43	40	294	304	149	418	67	107	1	423	425	24	252	380	125	491	262	140	71	230	384
147	294	290	300	434	435	162	294	29	34	32	383	246	104	472	389	360	185	74	299	132	63	419	363	369	66	175	248	192	216	42	420	397	53	430	484	223	224	223	315
291	112	115	156	203	90	245	276	207	293	496	450	79	482	198	253	92	159	348	127	187	203	493	339	18	138	323	100	314	15	119	305	174	141	137	20	173	299	178	41
29	347	113	240	68	110	95	26	201	83	293	404	57	460	464	286	270	100	492	348	342	26	327	87	411	489	164	164	232	462	326	156	469	332	400	369	461	314	89	397
204	183	130	193	293	408	268	421	452	25	244	128	14	354	372	490	500	38	187	268	462	473	438	257	283	288	171	368	367	189	160	264	341	455	26	155	219	441	450	476
458	346	92	306	358	225	130	315	214	332	161	25	234	187	285	231	268	382	414	476	192	440	18	422	184	209	73	141	222	4	392	321	157	256	392	491	491	217	7	248
45	458	295	424	108	302	360	329	341	352	65	328	277	285	330	495	333	179	298	81	108	102	416	80	365	379	484	139	215	406	389	140	6	187	467	291	231	208	188	393
345	452	284	305	495	152	492	36	60	470	394	145	260	284	197	314	345	250	59	196	126	364	319	112	113	276	437	11	118	331	184	182	12	468	52	351	95	342	4	466
299	76	22	347	219	240	192	460	136	4	207	394	212	478	166	243	129	234	350	34	191	193	52	417	114	193	393	136	39	381	403	337	92	418	443	284	486	394	95	268
216	181	418	42	318	406	15	184	373	459	185	330	488	375	153	333	139	91	92	203	85	53	63	248	437	68	244	443	287	105	388	319	245	359	210	360	312	116	40	20
70	486	54	236	131	22	52	491	114	46	199	406	451	376	274	263	459	183	322	471	488	452	44	435	465	264	196	433	225	131	193	85	168	132	242	109	1	257	201	309
350	382	148	94	274	21	143	472	424	64	339	81	424	12	429	1	300	110	131	55	356	352	124	323	317	491	160	22	44	55	97	224	188	167	53	31	14	247	197	331
127	38	124	385	180	189	32	219	417	187	240	301	73	399	478	305	436	18	275	443	339	316	227	476	137	447	215	277	469	283	195	128	297	486	7	29	32	386	465	410
493	348	153	4	266	441	240	195	376	58	288	188	477	92	355	147	104	274	215	495	162	491	411	464	312	250	498	217	462	129	181	465	218	355	69	216	450	146	235	50
429	464	425	169	174	5	218	25	220	286	331	28	426	500	155	416	107	103	385	10	330	126	260	200	360	73	59	150	103	460	176	301	125	381	54	380	263	40	18	449
459	238	366	369	6	104	110	440	135	404	292	58	311	109	217	230	496	186	467	275	329	339	39	411	170	25	342	220	466	85	353	361	452	134	41	167	298	154	385	170
316	483	404	187	162	266	37	375	457	90	309	209	214	306	318	55	277	107	200	449	423	237	314	93	214	167	285	98	474	431	204	476	51	350	193	148	377	274	183	408
