,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
25184,ENSG00000204472,ENSG00000181163_negation,2.165941740413976e-64,0.7115384615384616,1.0,4.47448304052823e-61,43,0.9481736436436826,0.19217364364368267,67,1,1.0
75581,ENSG00000011600,ENSG00000166710_negation,7.75955853091506e-67,0.7596153846153846,0.9949494949494949,2.0273215995873993e-63,34,0.8681602574211412,0.17216025742114122,91,2,1.0
25199,ENSG00000204472,ENSG00000198034_negation,2.6981214863066396e-60,0.6923076923076923,0.9974747474747475,2.9228881676842086e-57,82,0.9606578887001094,0.19465788870010942,60,3,1.0
25190,ENSG00000204472,ENSG00000231500_negation,5.202508768043949e-57,0.6634615384615384,0.9974747474747475,3.883563498942118e-54,117,0.9905918268769083,0.2005918268769084,40,4,1.0
86678,ENSG00000213402_negation,ENSG00000100316_negation,3.9301029818317676e-63,0.7788461538461539,0.9823232323232324,6.347545054165413e-60,55,0.8334836879124365,0.16548368791243653,107,5,1.0
25177,ENSG00000204472,ENSG00000163682_negation,6.139916310793423e-56,0.6538461538461539,0.9974747474747475,3.923848243194896e-53,137,1.0004907250710338,0.20249072507103377,35,6,1.0
79584,ENSG00000025708,ENSG00000213402_negation,2.42886657377179e-62,0.7884615384615384,0.9772727272727273,3.5370269936839655e-59,61,0.8084328929861896,0.1604328929861896,121,7,1.0
79034,ENSG00000100097,ENSG00000213402_negation,1.277857995020885e-62,0.7980769230769231,0.9747474747474747,1.957127647512073e-59,58,0.790849612079558,0.15684961207955786,138,8,1.0
25234,ENSG00000204472,ENSG00000133112_negation,7.065270696466057e-55,0.6442307692307693,0.9974747474747475,3.758174019387882e-52,167,1.010547785661441,0.20454778566144105,30,9,1.0
25121,ENSG00000204472,ENSG00000011600,2.1930780030479283e-72,0.8557692307692307,0.9797979797979798,1.2987554139250035e-68,15,0.7230028784070157,0.1430028784070158,185,10,1.0
25233,ENSG00000204472,ENSG00000122026_negation,1.698717749732125e-55,0.6634615384615384,0.9949494949494949,9.49049034128644e-53,158,0.9829619507525205,0.1989619507525205,44,11,1.0
