,gene_1,gene_2,gene_3,gene_4,HG_stat,TP,TN,rank
1720171,ENSG00000186468,ENSG00000112306,ENSG00000169567,ENSG00000177410,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,1
1757089,ENSG00000186468,ENSG00000177410,ENSG00000112306,ENSG00000169567,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,2
1804066,ENSG00000169567,ENSG00000112306,ENSG00000177410,ENSG00000186468,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,3
1721592,ENSG00000186468,ENSG00000112306,ENSG00000177410,ENSG00000169567,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,4
1838463,ENSG00000169567,ENSG00000177410,ENSG00000112306,ENSG00000186468,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,5
1709853,ENSG00000186468,ENSG00000169567,ENSG00000177410,ENSG00000112306,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,6
1789968,ENSG00000169567,ENSG00000186468,ENSG00000112306,ENSG00000177410,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,7
2301164,ENSG00000112306,ENSG00000186468,ENSG00000177410,ENSG00000169567,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,8
1791046,ENSG00000169567,ENSG00000186468,ENSG00000177410,ENSG00000112306,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,9
2302445,ENSG00000112306,ENSG00000169567,ENSG00000177410,ENSG00000186468,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,10
1708775,ENSG00000186468,ENSG00000169567,ENSG00000112306,ENSG00000177410,3.938847940438974e-58,0.7159090909090909,0.9975728155339806,11
1838863,ENSG00000169567,ENSG00000177410,ENSG00000138326,ENSG00000186468,7.157993977964535e-58,0.7272727272727273,0.9951456310679612,12
1733535,ENSG00000186468,ENSG00000138326,ENSG00000169567,ENSG00000177410,7.157993977964535e-58,0.7272727272727273,0.9951456310679612,13
1756754,ENSG00000186468,ENSG00000177410,ENSG00000169567,ENSG00000138326,7.157993977964535e-58,0.7272727272727273,0.9951456310679612,14
1791054,ENSG00000169567,ENSG00000186468,ENSG00000177410,ENSG00000138326,7.157993977964535e-58,0.7272727272727273,0.9951456310679612,15
1734956,ENSG00000186468,ENSG00000138326,ENSG00000177410,ENSG00000169567,7.157993977964535e-58,0.7272727272727273,0.9951456310679612,16
2735045,ENSG00000138326,ENSG00000169567,ENSG00000177410,ENSG00000186468,7.157993977964535e-58,0.7272727272727273,0.9951456310679612,17
1790368,ENSG00000169567,ENSG00000186468,ENSG00000138326,ENSG00000177410,7.157993977964535e-58,0.7272727272727273,0.9951456310679612,18
1313413,ENSG00000109475,ENSG00000177410,ENSG00000196531,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,19
1313404,ENSG00000109475,ENSG00000177410,ENSG00000196531,ENSG00000182899,1.786337079047622e-57,0.6931818181818182,1.0,20
1744931,ENSG00000186468,ENSG00000196531,ENSG00000177410,ENSG00000109475,1.786337079047622e-57,0.6931818181818182,1.0,21
1734514,ENSG00000186468,ENSG00000138326,ENSG00000135390,ENSG00000198034,1.786337079047622e-57,0.6931818181818182,1.0,22
1297091,ENSG00000109475,ENSG00000196531,ENSG00000186468,ENSG00000177410,1.786337079047622e-57,0.6931818181818182,1.0,23
1699760,ENSG00000186468,ENSG00000109475,ENSG00000177410,ENSG00000196531,1.786337079047622e-57,0.6931818181818182,1.0,24
1298561,ENSG00000109475,ENSG00000196531,ENSG00000177410,ENSG00000186468,1.786337079047622e-57,0.6931818181818182,1.0,25
1742241,ENSG00000186468,ENSG00000135390,ENSG00000198034,ENSG00000138326,1.786337079047622e-57,0.6931818181818182,1.0,26
1298552,ENSG00000109475,ENSG00000196531,ENSG00000177410,ENSG00000182899,1.786337079047622e-57,0.6931818181818182,1.0,27
677130,ENSG00000174748,ENSG00000135390,ENSG00000112306,ENSG00000177410,1.786337079047622e-57,0.6931818181818182,1.0,28
