gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
ENSG00000128040,6.022256879437878e-58,6.483586804224519e-57,59,1.001,13.281486401029207,1.0183191162530711e-22,11.088982424276017,1.4189260905571576e-28,6.16062638526018,6.16062638526018,0.6477272727272727,0.9951456310679612,7.674209108273022e-54,5,39,1,1.0
ENSG00000124766,1.4346469748036874e-53,1.982091470509385e-52,78,0.001,12.66768274044691,1.3432197469714746e-21,10.984944474389092,4.5151615828759756e-28,5.438873670562603,5.438873670562603,0.7613636363636364,0.9733009708737864,1.066397972976537e-49,11,47,2,1.0
ENSG00000170891,1.1224135297256084e-47,1.8379297241046185e-46,40,1.001,10.34964370824938,7.683072227970013e-17,9.16996992675233,4.731510198499574e-20,7.903181900170684,7.903181900170684,0.45454545454545453,1.0,3.29612190190663e-44,33,26,3,1.0
ENSG00000185198,1.1667643228017986e-50,1.7702141229080422e-49,47,1.001,11.357835273071451,6.35809749333599e-19,10.050228518373741,9.165463250540593e-24,5.919930511716705,5.919930511716705,0.5113636363636364,0.9951456310679612,5.238224518241525e-47,20,43,4,1.0
ENSG00000226777,9.111004829132192e-47,1.5777535432953308e-45,53,1.001,12.0822430876914,1.7070930610177953e-20,10.772398193956036,4.64735584085815e-27,4.5970480318957945,4.5970480318957945,0.5340909090909091,0.9854368932038835,2.457219035132202e-43,38,60,5,1.0
ENSG00000174059,3.482136035396865e-36,6.376216665559593e-35,41,0.001,8.05357607148988,3.851533449909542e-12,6.864879099570127,6.654758889067308e-12,19.14678209953261,19.14678209953261,0.4659090909090909,1.0,3.66365141154395e-33,103,1,6,1.0
ENSG00000172889,3.1820694815852643e-40,5.797727017310739e-39,48,0.001,8.93193640670788,6.114448068797238e-14,7.84389246393577,4.367911861977783e-15,8.301928195377736,8.301928195377736,0.5340909090909091,0.9975728155339806,4.036706190662344e-37,85,25,7,1.0
ENSG00000257698,1.2527640953907166e-40,2.3863836883959414e-39,46,1.001,10.03823040706212,2.936615012068638e-16,9.115918960600137,7.800653728648697e-20,5.258051079200834,5.258051079200834,0.48863636363636365,0.9927184466019418,1.6813157804607769e-37,84,52,8,1.0
ENSG00000095932,7.079288742384902e-35,1.3026590703145824e-33,44,0.001,7.990702819038578,5.065924604100575e-12,6.9762322178084775,3.0320141726310203e-12,7.084230190482679,7.084230190482679,0.4772727272727273,0.9951456310679612,6.94538128398684e-32,111,31,9,1.0
ENSG00000136810,1.2817494065632078e-43,2.1553434731783235e-42,59,1.001,13.472959903127068,1.611746856098327e-23,11.293807138115902,1.408027725951871e-29,3.6955311733687957,3.6955311733687957,0.5909090909090909,0.9830097087378641,2.2778061705180015e-40,56,101,10,1.0
ENSG00000123179,7.103700650335859e-39,1.2739264039731122e-37,43,1.001,12.179255647374628,8.817279374028307e-21,10.298131445838681,7.184321440464365e-25,3.9645711080465302,3.9645711080465302,0.48863636363636365,1.0,8.106804388919806e-36,93,78,11,1.0
ENSG00000135916,4.2447897315092585e-35,7.99493779679666e-34,28,1.001,9.772336669251356,8.646522330731748e-16,8.460398596664154,2.6646516429990893e-17,4.392285335714524,4.392285335714524,0.29545454545454547,0.9951456310679612,4.3408711473850094e-32,109,67,12,1.0
ENSG00000137309,2.3399312182506617e-39,4.1956745787894937e-38,52,1.001,11.988075316614898,1.861783363863945e-20,10.104279484525934,5.288286179015771e-24,3.8671748070748024,3.8671748070748024,0.5340909090909091,0.9878640776699029,2.7589738896888494e-36,90,87,13,1.0
ENSG00000117632,8.658179374999593e-36,1.6702923279229177e-34,43,1.001,10.581410381549851,1.6103961895016326e-17,9.525568388279908,1.6414119969427069e-21,3.7705192534492094,3.7705192534492094,0.45454545454545453,0.9927184466019418,9.504897775155764e-33,104,95,14,1.0
ENSG00000167642,3.590927376362224e-34,6.729604983230821e-33,84,0.001,10.362944534064548,3.6627753761758083e-17,8.944012504341663,3.7529006567022583e-19,3.6359637049662026,3.6359637049662026,0.6590909090909091,0.9368932038834952,3.433364297870897e-31,116,103,15,1.0
ENSG00000121691,7.65370327472132e-31,1.5879435373419402e-29,28,1.001,9.275971197564628,8.849711381857005e-15,8.380744541281977,5.259393888399001e-17,3.7976074808718874,3.7976074808718874,0.3068181818181818,0.9975728155339806,7.0659688503732275e-28,133,91,16,1.0
ENSG00000269893,4.389704222425708e-46,8.132879845460686e-45,70,1.001,13.35122309291574,1.8616517647733144e-23,10.973158925378463,5.144311133822598e-28,2.9947023717192596,2.9947023717192596,0.6818181818181818,0.9757281553398058,1.1193456193223906e-42,43,182,17,1.0
ENSG00000102804,2.3607128562013756e-25,5.138473675816813e-24,36,0.001,6.246390307984776,1.4706144794544141e-08,5.427042120273471,5.7295611049257385e-08,6.022104032223331,6.022104032223331,0.375,0.9927184466019418,1.626225747669784e-22,187,41,18,1.0
ENSG00000166681,7.35343484499248e-29,1.5314828157673307e-27,29,1.001,8.571239438228282,2.610721205261525e-13,7.6073686872397115,2.797324909341583e-14,3.8311028837995655,3.8311028837995655,0.29545454545454547,0.9927184466019418,6.124049834548724e-26,148,89,19,1.0
ENSG00000113648,2.7645437903801463e-38,5.254002626022836e-37,62,1.001,12.367891826456523,2.079313850240601e-21,10.38550706781403,2.886314548495825e-25,3.1962146611848823,3.1962146611848823,0.6022727272727273,0.9781553398058253,3.238973209792487e-35,96,152,20,1.0
ENSG00000105810,1.5022021726494402e-24,3.114620419681201e-23,40,0.001,6.870512230864771,8.705283293225924e-10,5.699735340484906,1.199935687162211e-08,5.291549806115998,5.291549806115998,0.3977272727272727,0.9878640776699029,9.125193038759956e-22,202,49,21,1.0
ENSG00000233016,6.1766655102998505e-52,9.101424631031577e-51,76,1.5859625007211597,18.382673856432778,9.70389885084193e-34,12.884043458067236,5.535758831264726e-38,2.7629137680212974,2.7629137680212974,0.75,0.9757281553398058,3.8474204122088033e-48,14,244,22,1.0
ENSG00000078399,3.2886229007177326e-22,6.412002181508452e-21,29,0.001,5.756071757515865,1.259927260587154e-07,4.6561046556816805,3.2224817299871163e-06,7.41668899085688,7.41668899085688,0.3181818181818182,0.9975728155339806,1.6147827544147014e-19,232,27,23,1.0
ENSG00000118231,3.2886229007177326e-22,6.412002181508452e-21,29,0.001,5.995788237922359,4.46408609325385e-08,4.6561046556816805,3.2224817299871163e-06,7.31401029795102,7.31401029795102,0.3181818181818182,0.9975728155339806,1.6147827544147014e-19,233,29,24,1.0
ENSG00000196465,7.538451874576165e-25,1.5035621362163448e-23,45,0.001,7.223879040248664,1.6013802927584914e-10,5.9139072138849444,3.340861317751651e-09,4.480094845583564,4.480094845583564,0.42045454545454547,0.9805825242718447,4.449177048531093e-22,200,65,25,1.0
ENSG00000127920,1.0430495345024369e-22,2.131327834629618e-21,34,0.001,6.223029728751906,1.6292945547041308e-08,5.095421155008895,3.4796681972033044e-07,5.948198120689326,5.948198120689326,0.3522727272727273,0.9927184466019418,5.508115999777219e-20,227,42,26,1.0
ENSG00000021355,9.898656295729526e-37,1.9566661183223027e-35,49,1.5859625007211597,10.27201413601108,6.511633486575563e-17,9.135426076203936,6.514971814197033e-20,3.028412206270482,3.028412206270482,0.5113636363636364,0.9902912621359223,1.1579905845707448e-33,100,177,27,1.0
ENSG00000113269,9.517416602969872e-27,1.8504148148344764e-25,80,0.001,9.076045624782495,2.0994093827994192e-14,7.971095113602207,1.572744039266856e-15,3.552735479516646,3.552735479516646,0.5909090909090909,0.9320388349514563,6.518506734075997e-24,168,109,28,1.0
ENSG00000145708,2.457543525079225e-21,4.5962853306406285e-20,28,0.001,5.683352730493793,1.719561085396629e-07,4.489074978324155,7.153311815096084e-06,7.3957500503239,7.3957500503239,0.3068181818181818,0.9975728155339806,1.079430645832269e-18,249,28,29,1.0
ENSG00000139684,1.0503115268299692e-26,2.1079611344865704e-25,74,0.001,8.651451667294918,1.5744927239974354e-13,7.646382918447308,2.0671150165871678e-14,3.552554474574734,3.552554474574734,0.5681818181818182,0.941747572815534,7.295495473422423e-24,171,110,30,1.0
ENSG00000233968,4.297178487836038e-20,9.440804251760705e-19,24,0.001,5.046846046802362,2.4376806425905194e-06,4.018465814382513,5.8578305830535844e-05,18.79090059060746,18.79090059060746,0.2727272727272727,1.0,1.9812906408433976e-17,278,3,31,1.0
ENSG00000124575,7.787402748832822e-26,1.5365693377047937e-24,27,1.001,8.412693637920281,5.452652138817793e-13,7.509426710978973,5.938685440603536e-14,3.622521090696068,3.622521090696068,0.2840909090909091,0.9951456310679612,5.080277495407927e-23,178,104,32,1.0
ENSG00000179348,2.457543525079225e-21,4.5962853306406285e-20,28,0.001,5.699197812362865,1.5967666219053387e-07,4.481353411730985,7.41711696955289e-06,6.794394761430343,6.794394761430343,0.3068181818181818,0.9975728155339806,1.079430645832269e-18,250,34,33,1.0
