clusterB_1.txt	clusterB_10.txt	clusterB_11.txt	clusterB_12.txt	clusterB_13.txt	clusterB_14.txt	clusterB_15.txt	clusterB_16.txt	clusterB_17.txt	clusterB_18.txt	clusterB_19.txt	clusterB_2.txt	clusterB_20.txt	clusterB_21.txt	clusterB_22.txt	clusterB_23.txt	clusterB_24.txt	clusterB_25.txt	clusterB_26.txt	clusterB_27.txt	clusterB_28.txt	clusterB_29.txt	clusterB_3.txt	clusterB_30.txt	clusterB_31.txt	clusterB_32.txt	clusterB_33.txt	clusterB_34.txt	clusterB_35.txt	clusterB_36.txt	clusterB_37.txt	clusterB_38.txt	clusterB_39.txt	clusterB_4.txt	clusterB_40.txt	clusterB_5.txt	clusterB_6.txt	clusterB_7.txt	clusterB_8.txt	clusterB_9.txt
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	3	1	3	2	2	1	2	2	1	3	3	3	3	1	2	3	2	2	2	1	2
