,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
77784,ENSG00000156508,ENSG00000149806_negation,1.672291865063036e-28,0.4158415841584158,0.9899749373433584,2.5555964281893315e-25,105,1.2188138013201009,0.24481380132010086,94,1,1.0
73123,ENSG00000227507,ENSG00000173762,2.223015887466177e-35,0.5148514851485149,0.9849624060150376,8.106985279970687e-32,44,1.1095210105202322,0.21952101052023235,158,2,1.0
73092,ENSG00000227507,ENSG00000213658,4.367331928828853e-24,0.3069306930693069,1.0,3.337078326818127e-21,205,1.3647303614968331,0.27073036149683305,23,3,1.0
77785,ENSG00000156508,ENSG00000251562_negation,8.791121873848313e-34,0.5247524752475248,0.9774436090225563,2.661570201885989e-30,53,1.071390535833395,0.2153905358333951,179,4,1.0
143570,ENSG00000173762,ENSG00000251562_negation,1.1585451151005786e-27,0.40594059405940597,0.9899749373433584,1.5237812107717535e-24,122,1.1912807070931655,0.2352807070931654,112,5,1.0
73252,ENSG00000227507,ENSG00000149806_negation,1.3278950088118262e-27,0.43564356435643564,0.9824561403508771,1.6646512578824567e-24,128,1.1825834645274358,0.2345834645274355,117,6,1.0
12166,ENSG00000122406,ENSG00000251562_negation,7.560885333657925e-27,0.43564356435643564,0.9799498746867168,8.54385367270482e-24,142,1.1314577498845269,0.22345774988452677,140,7,1.0
154301,ENSG00000100316,ENSG00000251562_negation,6.337184420852342e-26,0.40594059405940597,0.9849624060150376,6.315968629530358e-23,161,1.1763342458903119,0.23233424589031199,122,8,1.0
77801,ENSG00000156508,ENSG00000137818_negation,3.899172841019356e-26,0.43564356435643564,0.9774436090225563,4.0365495047923027e-23,155,1.1613543142834257,0.23335431428342565,129,9,1.0
77745,ENSG00000156508,ENSG00000177954_negation,3.1919097281189784e-25,0.4158415841584158,0.9799498746867168,3.0128060404923494e-22,170,1.1889016938824246,0.2389016938824246,114,10,1.0
77836,ENSG00000156508,ENSG00000198712_negation,1.6467491955267556e-23,0.36633663366336633,0.9874686716791979,1.1780019959188277e-20,221,1.2613654723324552,0.2533654723324552,74,11,1.0
94340,ENSG00000147403,ENSG00000251562_negation,2.630535014252225e-24,0.38613861386138615,0.9849624060150376,2.1104913946096315e-21,200,1.196308901660195,0.23630890166019491,109,12,1.0
122730,ENSG00000111716,ENSG00000149806_negation,1.8700841538935447e-28,0.37623762376237624,0.9974937343358395,2.7529869120909364e-25,107,1.0115602890237887,0.20556028902378864,213,13,1.0
73084,ENSG00000227507,ENSG00000008517,4.83528231824407e-21,0.2871287128712871,0.9974937343358395,2.478831425136619e-18,310,1.3772273277501914,0.2732273277501915,16,14,1.0
73253,ENSG00000227507,ENSG00000251562_negation,4.7934453992287925e-28,0.5247524752475248,0.9548872180451128,6.518313916997045e-25,118,1.0106146846063842,0.20061468460638404,214,15,1.0
12126,ENSG00000122406,ENSG00000177954_negation,1.0253746250188152e-22,0.3564356435643564,0.9874686716791979,6.634380552626778e-20,248,1.245581633424589,0.25158163342458906,84,16,1.0
77747,ENSG00000156508,ENSG00000143947_negation,9.190748396165851e-23,0.37623762376237624,0.9824561403508771,5.970674811324568e-20,246,1.2364250786228848,0.24842507862288488,88,17,1.0
122745,ENSG00000111716,ENSG00000140264_negation,1.1815137963350108e-28,0.40594059405940597,0.9924812030075187,1.8406493715894385e-25,101,0.9665664482219364,0.1965664482219363,234,18,1.0
122731,ENSG00000111716,ENSG00000251562_negation,3.9964947229777556e-30,0.44554455445544555,0.9874686716791979,8.016019246796671e-27,79,0.9116158790154567,0.1856158790154566,261,19,1.0
99696,ENSG00000137154,ENSG00000137818_negation,6.917385044702542e-23,0.33663366336633666,0.9924812030075187,4.5490595149918634e-20,242,1.204872449762578,0.238872449762578,102,20,1.0
99680,ENSG00000137154,ENSG00000251562_negation,1.2525566782482197e-23,0.39603960396039606,0.9799498746867168,9.177465623214046e-21,219,1.1714263381611265,0.23142633816112657,125,21,1.0
155940,ENSG00000196154_negation,ENSG00000149806_negation,3.0385051516694823e-28,0.48514851485148514,0.9699248120300752,4.203117027086524e-25,116,0.9598036299405528,0.1898036299405528,235,22,1.0
77806,ENSG00000156508,ENSG00000161970_negation,5.536677032392273e-22,0.36633663366336633,0.9824561403508771,3.2904471603507277e-19,269,1.2463270105636517,0.25032701056365175,83,23,1.0
154317,ENSG00000100316,ENSG00000137818_negation,2.68509396865138e-22,0.31683168316831684,0.9949874686716792,1.6382238148432285e-19,263,1.2322742899984802,0.2442742899984803,90,24,1.0
133378,ENSG00000174444,ENSG00000251562_negation,9.190748396165851e-23,0.37623762376237624,0.9824561403508771,5.970674811324568e-20,247,1.1988534309222816,0.23685343092228145,108,25,1.0
77799,ENSG00000156508,ENSG00000140264_negation,4.28222833225978e-25,0.4752475247524752,0.9598997493734336,3.904151366038276e-22,176,1.0694220366415208,0.2154220366415208,180,26,1.0
95085,ENSG00000133872,ENSG00000051523_negation,6.518405863923028e-25,0.31683168316831684,1.0,5.715573351535262e-22,178,1.0650873647914707,0.21308736479147064,182,27,1.0
148491,ENSG00000171223,ENSG00000051523_negation,1.9941107526326237e-28,0.42574257425742573,0.9874686716791979,2.88267572502868e-25,111,0.9177412062521008,0.18374120625210077,255,28,1.0
154261,ENSG00000100316,ENSG00000177954_negation,1.686786270654388e-21,0.3069306930693069,0.9949874686716792,9.301148170978478e-19,287,1.2507212887041317,0.25272128870413163,80,29,1.0
77624,ENSG00000156508,ENSG00000213658,2.0675097781658124e-20,0.31683168316831684,0.9899749373433584,9.873651384353107e-18,336,1.3186246235421732,0.26462462354217337,37,30,1.0
122747,ENSG00000111716,ENSG00000137818_negation,3.8399369709168486e-26,0.37623762376237624,0.9924812030075187,4.0010397811057696e-23,152,0.9965856332539058,0.20258563325390572,221,31,1.0
77810,ENSG00000156508,ENSG00000131469_negation,3.2777300877339915e-21,0.3564356435643564,0.9824561403508771,1.7649256631137046e-18,298,1.2563492293422627,0.2523492293422628,76,32,1.0
154326,ENSG00000100316,ENSG00000131469_negation,4.83528231824407e-21,0.2871287128712871,0.9974937343358395,2.478831425136619e-18,311,1.2781869349389545,0.2581869349389545,64,33,1.0
122752,ENSG00000111716,ENSG00000161970_negation,4.367331928828853e-24,0.3069306930693069,1.0,3.337078326818127e-21,204,1.0890107665254039,0.22101076652540375,172,34,1.0
73213,ENSG00000227507,ENSG00000177954_negation,4.5756430463152126e-23,0.43564356435643564,0.9649122807017544,3.072017819476089e-20,239,1.130416405588532,0.2244164055885319,142,35,1.0
73184,ENSG00000227507,ENSG00000142546,1.093554787479899e-26,0.5445544554455446,0.9398496240601504,1.2185617691236949e-23,144,0.9448693037242656,0.18686930372426558,240,36,1.0
12187,ENSG00000122406,ENSG00000161970_negation,2.0675097781658124e-20,0.31683168316831684,0.9899749373433584,9.873651384353107e-18,335,1.293079765639797,0.2610797656397968,52,37,1.0
12191,ENSG00000122406,ENSG00000131469_negation,6.385139236487796e-20,0.2871287128712871,0.9949874686716792,2.8224953912563865e-17,358,1.3379369849087481,0.26993698490874807,31,38,1.0
158866,ENSG00000167996_negation,ENSG00000251562_negation,7.722185045531345e-24,0.44554455445544555,0.9649122807017544,5.7633001608883954e-21,215,1.0767299186933441,0.21272991869334415,174,39,1.0
73269,ENSG00000227507,ENSG00000137818_negation,6.29703424866578e-25,0.504950495049505,0.9473684210526315,5.708635099294687e-22,177,1.0082260536140326,0.20022605361403256,216,40,1.0
72945,ENSG00000227507,ENSG00000133872,2.1677476542096958e-20,0.33663366336633666,0.9849624060150376,1.0260736175284425e-17,337,1.2895361848680236,0.2555361848680236,56,41,1.0
94361,ENSG00000147403,ENSG00000161970_negation,3.01663980459924e-20,0.27722772277227725,0.9974937343358395,1.3909570105913754e-17,346,1.2980827993864383,0.26208279938643836,49,42,1.0
77616,ENSG00000156508,ENSG00000008517,2.1677476542096958e-20,0.33663366336633666,0.9849624060150376,1.0260736175284425e-17,338,1.2836367585287396,0.2576367585287395,59,43,0.0
72988,ENSG00000227507,ENSG00000185885,1.9069229153874186e-20,0.3465346534653465,0.9824561403508771,9.188791529308725e-18,332,1.2724863790203227,0.25248637902032256,67,44,1.0
73032,ENSG00000227507,ENSG00000111716,1.393675805287708e-26,0.5544554455445545,0.9348370927318296,1.517205634312957e-23,146,0.9193807395080278,0.18138073950802774,254,45,0.0
122756,ENSG00000111716,ENSG00000131469_negation,1.84353888920604e-23,0.31683168316831684,0.9974937343358395,1.2805891502203046e-20,226,1.0715420865439396,0.21754208654393936,178,46,1.0
155941,ENSG00000196154_negation,ENSG00000251562_negation,1.2133215489414137e-28,0.5445544554455446,0.949874686716792,1.8720268179296942e-25,104,0.840246865752313,0.166246865752313,301,47,1.0
14512,ENSG00000116824,ENSG00000227507,3.087377791200678e-19,0.24752475247524752,1.0,1.2292896470318908e-16,401,1.424712159016984,0.28271215901698377,7,48,1.0
122691,ENSG00000111716,ENSG00000177954_negation,1.086137128309573e-23,0.3465346534653465,0.9924812030075187,7.99461696081112e-21,216,1.026411624209186,0.20841162420918594,206,49,1.0
77835,ENSG00000156508,ENSG00000198804_negation,1.309540686590207e-19,0.31683168316831684,0.9874686716791979,5.486428410207603e-17,381,1.311305774337161,0.26330577433716096,44,50,0.0
122767,ENSG00000111716,ENSG00000233927_negation,4.214814689057233e-23,0.32673267326732675,0.9949874686716792,2.84165285638997e-20,238,1.053994615240076,0.21399461524007585,188,51,1.0
122782,ENSG00000111716,ENSG00000198712_negation,4.214814689057233e-23,0.32673267326732675,0.9949874686716792,2.84165285638997e-20,237,1.053994615240076,0.21399461524007585,189,52,1.0
77755,ENSG00000156508,ENSG00000182899_negation,1.2508245172569445e-19,0.32673267326732675,0.9849624060150376,5.309750075755729e-17,377,1.293811841830444,0.25981184183044403,51,53,0.0
126476,ENSG00000133639,ENSG00000251562_negation,1.2220176938310703e-19,0.3069306930693069,0.9899749373433584,5.2429460205836195e-17,374,1.2913587048877573,0.255358704887757,54,54,1.0
23539,ENSG00000198821,ENSG00000227507,1.130527401820419e-18,0.25742574257425743,0.9974937343358395,4.160677922557483e-16,432,1.4072182265102668,0.27921822651026684,9,55,1.0
122740,ENSG00000111716,ENSG00000111229_negation,1.6467491955267556e-23,0.36633663366336633,0.9874686716791979,1.1780019959188277e-20,222,0.9912528756025385,0.20125287560253843,223,56,1.0
57664,ENSG00000138795,ENSG00000227507,1.9085608163785012e-18,0.2376237623762376,1.0,6.851220965478986e-16,443,1.4347091252703423,0.28470912527034226,5,57,1.0
