gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
ENSG00000167286,2.3278190674103015e-62,3.336895114293911e-61,80,0.001,14.56981668130928,1.2331835409452777e-26,11.552643523080521,7.15841651337205e-31,6.386224783244348,6.386224783244348,0.7524752475247525,0.9899749373433584,8.584921066774337e-58,2,3,1,1.0
ENSG00000198851,2.1627062043991092e-67,2.2712056826713834e-66,98,0.001,17.19170162133264,4.513043347083606e-32,12.966175181376691,1.9029143751343175e-38,5.351542493315739,5.351542493315739,0.8514851485148515,0.9699248120300752,1.1686385603563668e-62,1,6,2,1.0
ENSG00000172005,1.2228220437755276e-21,2.6794681690336025e-20,28,0.001,5.911167985487299,4.736616359286377e-08,4.3065109589541395,1.6584971654817006e-05,18.23112855036564,18.23112855036564,0.27722772277227725,1.0,6.893540834877361e-18,9,1,3,1.0
ENSG00000139193,3.409918257592989e-33,8.241771787953687e-32,21,1.001,9.483250678327169,8.202576471341713e-16,8.170112761818206,3.0810134336491363e-16,3.9159930423347706,3.9159930423347706,0.16831683168316833,0.9899749373433584,8.48153242178507e-29,3,9,4,1.0
ENSG00000138795,2.2873741968157875e-18,5.174490915716959e-17,28,0.001,5.549778004213919,2.3154403655591177e-07,3.92566305101942,8.649115852089973e-05,5.885020836543646,5.885020836543646,0.25742574257425743,0.9949874686716792,9.50896707238896e-15,12,5,5,1.0
ENSG00000160654,1.4698179738520488e-14,2.999599033841207e-13,19,0.001,4.730998268840843,7.353681459529076e-06,2.9222752935760234,0.0034748425640797175,17.607498125208718,17.607498125208718,0.18811881188118812,1.0,2.806236451494419e-11,16,2,6,1.0
ENSG00000142546,4.0710562604400935e-22,9.013008509677764e-21,141,0.001,9.439424325403246,4.947044602979327e-16,8.395229338978,4.6498574729666657e-17,2.2764565211764336,2.2764565211764336,0.6732673267326733,0.8170426065162907,2.576445866907887e-18,7,14,7,1.0
ENSG00000179144,1.2691680291837955e-22,3.0065430704473314e-21,58,1.001,8.191384525644235,2.3642220167955275e-13,7.433087255774497,1.0609186553121403e-13,1.9088540559302885,1.9088540559302885,0.33663366336633666,0.9398496240601504,1.0313353805292061e-18,5,18,8,1.0
ENSG00000168685,1.81815116782352e-14,3.9790633585113245e-13,26,0.001,5.1537208992966335,1.2560091158742088e-06,3.423005488320154,0.0006193282683999677,4.992026207070669,4.992026207070669,0.22772277227722773,0.9924812030075187,3.591945551702409e-11,17,7,9,1.0
ENSG00000213658,2.5310081584630213e-15,5.729172020557461e-14,57,0.001,6.1340801232946855,1.4115809071307997e-08,4.952179223924439,7.338696607964126e-07,2.9722280918412474,2.9722280918412474,0.36633663366336633,0.949874686716792,5.89583884297368e-12,14,10,10,1.0
