gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
CEBPA_negation,1.1970973977183597e-43,2.649845448376845e-42,55,-0.249,13.014313842052422,4.481153167241341e-24,10.312062990034551,6.215260179072603e-25,-0.7092789904942909,0.7092789904942909,0.514018691588785,1.0,6.2271368036855855e-40,2,1,1,1.0
EGR1_negation,4.493385295440179e-24,1.0766964422435996e-22,145,-0.249,8.658730539281557,6.959722831151454e-15,7.579613467187543,3.465859734052799e-14,-0.663907129520153,0.663907129520153,0.7009345794392523,0.821882951653944,1.1610139582796263e-20,4,3,2,1.0
RFX5,1.7309299990032962e-23,3.923485750640494e-22,85,0.376,12.269684034543822,4.785850795692712e-25,9.88112011541899,5.0267837245561544e-23,0.437168078522905,0.437168078522905,0.5233644859813084,0.926208651399491,3.073397171335054e-20,5,7,3,1.0
SP2,2.4492958968352576e-50,5.642162321538506e-49,62,0.251,12.08488495784897,1.1662986696497725e-21,9.194705851911365,3.7602195952954415e-20,0.36705617404695057,0.36705617404695057,0.5794392523364486,1.0,2.651816291123098e-46,1,11,4,1.0
CEBPE,1.6272017893578788e-14,3.591349206451056e-13,115,0.126,6.728756135125847,5.624868655517285e-10,6.059992665018657,1.3612775614127047e-09,0.48499540381986234,0.48499540381986234,0.5233644859813084,0.8498727735368957,1.2984108669476895e-11,9,5,5,1.0
PPARD,5.280164898937406e-18,1.2040977367577986e-16,119,0.376,8.754181253369522,5.424390161754399e-15,7.899613079861795,2.7977052295719194e-15,0.4370840414593523,0.4370840414593523,0.5607476635514018,0.8498727735368957,7.0740742034520666e-15,7,8,6,1.0
NPM1,3.813719462654376e-37,9.285116965105315e-36,84,0.251,11.801303387703847,1.2237602439301646e-21,9.061121107941217,1.2911655443174307e-19,0.35514861056903263,0.35514861056903263,0.616822429906542,0.9541984732824428,1.454668324533166e-33,3,12,7,1.0
STAT1_negation,9.91316108515162e-12,2.1012176427219862e-10,96,-0.374,6.936556705028901,1.1096250844740074e-10,6.683765494913161,2.328793624825169e-11,-0.5008758060457257,0.5008758060457257,0.3925233644859813,0.8625954198473282,5.4865127337740755e-09,13,4,8,1.0
ATF4,2.4750907079757503e-12,5.220260966579304e-11,107,0.376,7.0562908513640545,7.853847275545847e-11,6.4924449717694745,8.44543715451361e-11,0.39805285991811984,0.39805285991811984,0.4766355140186916,0.8575063613231552,1.6356817695281819e-09,11,10,9,1.0
FOS,9.377189283396268e-15,2.1042845634944733e-13,96,0.501,6.565286127096629,6.099122204922331e-10,6.229426422201133,4.681459557214384e-10,0.2620096422382019,0.2620096422382019,0.4672897196261682,0.8829516539440203,8.991034044021842e-12,8,18,10,1.0
RFXAP,4.493973611018078e-12,9.028172278708459e-11,204,0.251,5.747059217076315,5.832711871142837e-08,6.115841654023126,9.604866272045795e-10,0.319176531237457,0.319176531237457,0.7009345794392523,0.6717557251908397,2.65202560687061e-09,12,14,11,1.0
ELK4,3.696792249884234e-11,7.455143901127549e-10,52,0.376,5.246785048373835,5.337902089652152e-07,5.486031095587598,4.1106456867175123e-08,0.2782368973024293,0.2782368973024293,0.19626168224299065,0.9211195928753181,1.7519588167649742e-08,15,15,12,1.0
PARP1_negation,2.344909156359748e-07,3.512658001994593e-06,184,-0.374,4.361493137897957,2.2744560648808406e-05,4.263768424064127,2.0100776883133766e-05,-0.4261209689012753,0.4261209689012753,0.5327102803738317,0.6768447837150128,4.855733120404291e-05,23,9,13,1.0
FOSL2_negation,2.2048961124993964e-08,3.517440482471702e-07,89,-0.249,4.816038499297186,3.5163123380737086e-06,4.069429036649929,4.712849120291746e-05,-0.32021102765836845,0.32021102765836845,0.37383177570093457,0.8753180661577609,5.3328936347151616e-06,21,13,14,1.0
SNAI2_negation,7.652478529551388e-09,1.279733612408772e-07,214,-0.374,6.112118929462001,5.528321155696599e-09,5.242635163777583,1.582993503555434e-07,-0.2640723702822717,0.2640723702822717,0.6728971962616822,0.638676844783715,2.22768443641527e-06,18,17,15,1.0
EZH2_negation,8.637175334502596e-09,1.4912424479748866e-07,41,-0.374,6.130582193293195,9.474047420565974e-09,4.899616711040678,9.602379633996368e-07,-0.27760258730796056,0.27760258730796056,0.2336448598130841,0.9592875318066157,2.416841208786885e-06,20,16,16,1.0
GATA2,7.491770093489431e-13,1.509501818266261e-11,137,0.251,3.5513328091169996,0.0005017645066861206,5.395842525506057,6.820274583264846e-08,0.21575571396032095,0.21575571396032095,0.5607476635514018,0.8040712468193384,5.067613247036733e-10,10,28,17,1.0
NFIC_negation,1.4490539752876414e-11,2.9763299149634183e-10,124,-0.499,6.5758311629210136,7.089748269070445e-10,5.847917450015202,4.9776545368158195e-09,-0.2327064154164649,0.2327064154164649,0.4953271028037383,0.8193384223918575,7.36250031596214e-09,14,25,18,1.0
NR3C1_negation,4.2652705839002056e-08,6.714435898491555e-07,202,-0.374,4.8023506493644526,3.451595942308713e-06,4.436221045517114,9.155183951879373e-06,-0.2578789568218311,0.2578789568218311,0.6355140186915887,0.6590330788804071,9.861827725909472e-06,22,19,19,1.0
SP3_negation,7.155891040092898e-19,1.6327123848201537e-17,33,-0.124,1.4037310710154556,0.1627899018674377,2.2430161529902795,0.02489577289048668,-0.1746130645798639,0.1746130645798639,0.2803738317757009,0.9923664122137404,1.0962497440935316e-15,6,38,20,1.0
ELK1_negation,0.00028382496724217043,0.002458912706322272,113,-0.249,5.701227311846485,4.225407816328445e-08,4.691315076375362,2.7145455795708975e-06,-0.4438788921643127,0.4438788921643127,0.308411214953271,0.7964376590330788,0.019587948677482505,39,6,21,1.0
GATA1_negation,1.3387320818741645e-10,2.6832457890103155e-09,67,-0.499,4.401401844134443,2.191100634181715e-05,3.503014627895149,0.0004600241996492641,-0.1941649748964316,0.1941649748964316,0.32710280373831774,0.9185750636132316,6.005359623023087e-08,16,34,22,1.0
AHR,2.686597989932751e-05,0.00030104444003418605,149,0.626,5.715865463557904,4.515152576519787e-08,4.860748833557838,1.1694254823549924e-06,0.24800312096208474,0.24800312096208474,0.45794392523364486,0.7455470737913485,0.0027209785926166816,33,20,23,1.0
MITF,2.686597989932751e-05,0.00030104444003418605,149,0.376,5.408961288402096,2.10775697189681e-07,4.860748833557838,1.1694254823549924e-06,0.24084449315856782,0.24084449315856782,0.45794392523364486,0.7455470737913485,0.0027209785926166816,31,22,24,1.0
DACH1,9.262832188002644e-07,1.27234797422734e-05,161,0.376,4.802164522646053,3.318879723284522e-06,4.309806104189431,1.6339774542360435e-05,0.2135063381051575,0.2135063381051575,0.4392523364485981,0.7099236641221374,0.00015946241818536096,25,29,25,1.0
NFYB,2.686597989932751e-05,0.00030104444003418605,149,0.376,5.408961288402096,2.10775697189681e-07,4.860748833557838,1.1694254823549924e-06,0.24084449315856782,0.24084449315856782,0.45794392523364486,0.7455470737913485,0.0027209785926166816,34,21,26,1.0
HMGN1_negation,2.686597989932751e-05,0.00030104444003418605,149,-0.374,5.408961288402096,2.10775697189681e-07,4.860748833557838,1.1694254823549924e-06,-0.23299979013814082,0.23299979013814082,0.45794392523364486,0.7455470737913485,0.0027209785926166816,32,24,27,1.0
TFAP2A,1.4783993173984698e-05,0.00016749179087138165,197,0.376,5.690904795822355,3.688883251002725e-08,4.710560336099875,2.4703664951070457e-06,0.2195384920315386,0.2195384920315386,0.5700934579439252,0.6539440203562341,0.0016749179087138164,30,27,28,1.0
ARNT,8.325823694201366e-07,1.1336415051600554e-05,155,0.626,5.6234899712205415,6.43206567474691e-08,4.7871640169641125,1.6915458914518952e-06,0.1797223338197351,0.1797223338197351,0.45794392523364486,0.7302798982188295,0.00015223185926435028,24,37,29,1.0
DEK,1.6009743973896896e-06,2.0984853932476553e-05,55,0.626,4.129366936698081,5.9330950017782266e-05,3.841127426192472,0.00012247051438824008,0.18135405649802355,0.18135405649802355,0.16822429906542055,0.905852417302799,0.00022415639427872684,28,36,30,1.0
RFX1,0.20691257743496097,0.4901783727007507,126,0.126,5.815922757370824,2.2486556658558858e-08,5.0301825907403135,4.900129631289769e-07,0.6772403910903018,0.6772403910903018,0.2616822429906542,0.7506361323155216,1.0,63,2,31,1.0
CEBPB,0.0006251706164615585,0.00503720690608903,151,0.501,4.773417533003435,2.747298426787091e-06,4.305655165817478,1.664922395192138e-05,0.22452223887665906,0.22452223887665906,0.19626168224299065,0.6692111959287532,0.036658004171658556,42,26,32,1.0
CTNNB1_negation,0.0005795740137517895,0.004649244435011612,206,-0.499,4.300349643826194,2.728133753090916e-05,4.0833912839010456,4.43831978438595e-05,-0.2076995690980941,0.2076995690980941,0.5514018691588785,0.6259541984732825,0.03524427232992673,41,31,33,1.0
ABL1,1.346022580195978e-06,1.8106858438681958e-05,195,0.751,4.190400284968568,4.49599253962994e-05,3.7260332258792093,0.0001945167749837409,0.10741507527826578,0.10741507527826578,0.5607476635514018,0.6564885496183206,0.00020262436824239333,27,46,34,1.0
RBMX,0.001510704489202506,0.010719491566137563,179,0.626,4.0984409450581545,6.18620689004806e-05,3.923768835597733,8.717438641355953e-05,0.19479035433336683,0.19479035433336683,0.48598130841121495,0.6768447837150128,0.07409060347183316,43,33,35,1.0
MEF2A_negation,9.417705507119046e-07,1.2892706151156842e-05,170,-0.749,4.8481661533790525,2.715834811211353e-06,4.477730429236652,7.544077887242047e-06,-0.0980119086219668,0.0980119086219668,0.5420560747663551,0.7150127226463104,0.00015946241818536096,26,52,36,1.0
TCF4_negation,0.07678731670027696,0.25347308032911053,78,-0.249,4.890979526811716,1.95119342958077e-06,3.863391550187497,0.00011182355060643186,-0.23962629786533796,0.23962629786533796,0.205607476635514,0.8575063613231552,1.0,56,23,37,1.0
DDIT3_negation,2.1162532595927115e-10,4.333566485628467e-09,76,-0.749,3.4368748437555925,0.0007818074695730339,3.353958204538628,0.000796643949069749,-0.0614793173048755,0.0614793173048755,0.3644859813084112,0.905852417302799,8.855548905414693e-08,17,65,38,1.0
SRF,7.965756221094712e-09,1.3383140437733193e-07,64,0.626,2.1187754186410097,0.03591642467325613,1.3856587001649237,0.16585114480331697,0.06450753483730848,0.06450753483730848,0.308411214953271,0.9211195928753181,2.246455716333786e-06,19,64,39,1.0
ATF2,0.007137481647756231,0.03978492561036065,55,0.626,5.398231042467562,1.8176897191197445e-07,4.266032572267011,1.989797422756474e-05,0.11853941750259825,0.11853941750259825,0.16822429906542055,0.905852417302799,0.24603835574828295,46,43,40,1.0
HIF1A_negation,0.04515445024574286,0.17319966792519992,66,-0.374,3.352592919483553,0.0009746413028850949,3.1479207180761963,0.0016443628567981876,-0.14645816090996133,0.14645816090996133,0.17757009345794392,0.8804071246819338,0.8568825676299363,53,40,41,1.0
HDAC3_negation,0.0005763640086573906,0.00459304044393896,191,-0.624,3.7470041117940465,0.00024052882830831313,3.4698071209195187,0.0005208322363157027,-0.09581150129338477,0.09581150129338477,0.5233644859813084,0.6564885496183206,0.03524427232992673,40,53,42,1.0
RB1_negation,3.256162095341121e-05,0.0003458171962906283,149,-0.499,3.828056412168186,0.0001880459877794359,3.2290526953462013,0.0012420100708380381,-0.08058957905565849,0.08058957905565849,0.45794392523364486,0.7455470737913485,0.00300052343582115,36,59,43,1.0
POU2F2,7.690776345438264e-06,9.142272537485588e-05,176,0.251,0.7744459607808041,0.43973873663065843,0.887546095530474,0.3747849604320991,0.056999929198669884,0.056999929198669884,0.5046728971962616,0.6895674300254453,0.0009341017592648319,29,66,44,1.0
CDX2_negation,0.0019588467732213426,0.013465062249266104,212,-0.374,1.8306305893304444,0.0688573532223839,1.9852806158953331,0.04711325944169988,-0.09873196451556902,0.09873196451556902,0.5514018691588785,0.6106870229007634,0.09171853995876912,44,51,45,1.0
NCOA6,3.256162095341121e-05,0.0003458171962906283,149,0.501,3.82805641216817,0.00018804598777944637,3.2290526953462013,0.0012420100708380381,0.06740471595073817,0.06740471595073817,0.45794392523364486,0.7455470737913485,0.00300052343582115,35,61,46,1.0
KLF4,0.10380484570506074,0.3112991320962184,110,0.501,4.670116446927366,5.627897616591826e-06,4.532447344139678,5.830421270779776e-06,0.14705474157742338,0.14705474157742338,0.2523364485981308,0.7888040712468194,1.0,60,39,47,1.0
ESR2_negation,0.03036155601985517,0.12608160106169922,118,-0.374,2.1850294753664774,0.030093055369165945,1.8879222431713272,0.05903638994483519,-0.09916908895681377,0.09916908895681377,0.24299065420560748,0.7659033078880407,0.6811304884942372,51,50,48,1.0
ZNF76,0.019299711501320642,0.08901232132167439,81,0.376,1.6841431478511941,0.0940835289317598,1.6230169034339152,0.10458579147472008,0.08296998938590232,0.08296998938590232,0.19626168224299065,0.8473282442748091,0.4980451312046067,48,58,49,1.0
DMAP1,0.635174425958253,0.879349719448898,101,0.001,-0.6267886210560533,0.5315650694238229,-0.31660339036992674,0.7515445628907662,-0.21053733845506128,0.21053733845506128,0.18691588785046728,0.7938931297709924,1.0,76,30,50,1.0
ZNF148,0.05418431356912576,0.19803979882316228,120,0.501,2.868630008750191,0.004644952327489487,2.7396193254894734,0.0061510382035844515,0.09352329813752065,0.09352329813752065,0.29906542056074764,0.7760814249363868,0.9595742829575905,55,54,51,1.0
