gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
ABL1,1.346022580195978e-06,1.8106858438681958e-05,195,0.751,4.190400284968568,4.49599253962994e-05,3.7260332258792093,0.0001945167749837409,0.10741507527826578,0.10741507527826578,0.5607476635514018,0.6564885496183206,0.00020262436824239333
ABL1_negation,0.9999999999646035,0.9999999999898965,13,-0.624,-4.190400284968568,4.49599253962994e-05,-3.7260332258792093,0.0001945167749837409,0.10741536366780349,0.10741536366780349,0.018691588785046728,0.9720101781170484,1.0
AHR,2.686597989932751e-05,0.00030104444003418605,149,0.626,5.715865463557904,4.515152576519787e-08,4.860748833557838,1.1694254823549924e-06,0.24800312096208474,0.24800312096208474,0.45794392523364486,0.7455470737913485,0.0027209785926166816
AHR_negation,0.9997487314184166,0.999986641833554,0,-0.374,-5.715865463557904,4.515152576519787e-08,-4.860748833557838,1.1694254823549924e-06,0.2480039983479069,0.2480039983479069,0.0,1.0,1.0
AR,0.0006340198345767446,0.005069723981186822,72,0.376,1.9443838221685366,0.052889022625484845,2.4464121332160134,0.014428596207183368,0.1129272189247323,0.1129272189247323,0.08411214953271028,0.8396946564885496,0.036658004171658556
ARNT,8.325823694201366e-07,1.1336415051600554e-05,155,0.626,5.6234899712205415,6.43206567474691e-08,4.7871640169641125,1.6915458914518952e-06,0.1797223338197351,0.1797223338197351,0.45794392523364486,0.7302798982188295,0.00015223185926435028
ARNT_negation,0.9999999409512454,0.9999999961184077,92,-0.499,-5.6234899712205415,6.43206567474691e-08,-4.7871640169641125,1.6915458914518952e-06,0.17972293175987705,0.17972293175987705,0.04672897196261682,0.7786259541984732,1.0
AR_negation,0.998905386804056,0.9999327292487462,101,-0.249,-1.9443838221685366,0.052889022625484845,-2.4464121332160134,0.014428596207183368,0.11292795019727571,0.11292795019727571,0.08411214953271028,0.7659033078880407,1.0
ASH1L,1.4985865498109103e-08,2.546234862012044e-07,1,0.626,4.465619357382507,1.629832718876761e-05,3.651693693217856,0.00026051650129835664,0.32771488858966635,0.32771488858966635,0.009345794392523364,1.0,3.989101283818869e-06
ASH1L_negation,0.9999807441143747,0.9999990960432097,0,-0.249,-4.465619357382507,1.629832718876761e-05,-3.651693693217856,0.00026051650129835664,0.32771666792299126,0.32771666792299126,0.0,1.0,1.0
ATF1,0.9999999769483005,0.9999999980915131,0,0.751,7.5904965787816,1.987298900326163e-13,2.452449861757037,0.014188715130523914,0.0769776450581343,0.0769776450581343,0.0,1.0,1.0
ATF1_negation,1.0,1.0,0,-0.374,-7.5904965787816,1.987298900326163e-13,-2.452449861757037,0.014188715130523914,0.07697785623618165,0.07697785623618165,0.0,1.0,1.0
ATF2,0.007137481647756231,0.03978492561036065,55,0.626,5.398231042467562,1.8176897191197445e-07,4.266032572267011,1.989797422756474e-05,0.11853941750259825,0.11853941750259825,0.16822429906542055,0.905852417302799,0.24603835574828295
ATF2_negation,0.9999996917666633,0.9999999815394756,165,-0.624,-5.398231042467562,1.8176897191197445e-07,-4.266032572267011,1.989797422756474e-05,0.11853981284886365,0.11853981284886365,0.14018691588785046,0.6183206106870229,1.0
