,gene_1,gene_2,HG_pval,rank
1166,MTA1,ZNF76,5.377675378407728e-38,1
246,CEBPD,ZNF76,4.341425666280381e-37,2
219,CEBPD,MTA1,3.1854359051254175e-34,3
1895,SNAI1,ZNF76,6.905245152845939e-34,4
1150,MTA1,RBMX,4.643572874723461e-33,5
1157,MTA1,SNAI1,1.1043489285211017e-32,6
230,CEBPD,RBMX,2.845837130155863e-32,7
216,CEBPD,JUND,2.176350832452492e-30,8
223,CEBPD,NKX2-5,5.7623706108116625e-30,9
210,CEBPD,ETS1,8.254159238571988e-30,10
1956,SOX17,ZNF76,2.4396755338922308e-29,11
680,ETS1,ZNF76,2.14728835331502e-28,12
1143,MTA1,NKX2-5,3.395837117190051e-28,13
1159,MTA1,SOX17,3.7414615747040546e-28,14
534,ERG,MTA1,3.771167370834176e-28,15
1650,RBMX,ZNF76,4.039540353305087e-28,16
1356,NKX2-5,ZNF76,4.60285006678392e-28,17
561,ERG,ZNF76,1.4245925495799466e-27,18
545,ERG,RBMX,6.694616613683412e-27,19
653,ETS1,MTA1,1.3539824723059748e-26,20
1488,PGR,ZNF76,2.934704331178451e-26,21
1100,LYL1,RBMX,3.292893145406742e-26,22
1146,MTA1,PGR,4.718445657573512e-26,23
237,CEBPD,SNAI1,5.709059101895665e-26,24
997,JUND,RBMX,2.0404552512996998e-25,25
208,CEBPD,ERG,2.0851673375962163e-25,26
1347,NKX2-5,SNAI1,2.420939203065017e-25,27
652,ETS1,LYL1,2.420939203065017e-25,28
239,CEBPD,SOX17,3.222351677978318e-25,29
1013,JUND,ZNF76,3.780018401330543e-25,30
986,JUND,MTA1,4.275854546125635e-25,31
650,ETS1,JUND,5.979787851686531e-25,32
1641,RBMX,SNAI1,8.568273293392149e-25,33
552,ERG,SNAI1,1.2314497644850128e-24,34
664,ETS1,RBMX,1.5764483287547996e-24,35
738,EZH2,ZNF76,1.8012680448294317e-24,36
990,JUND,NKX2-5,1.8012680448294317e-24,37
2160,ZNF76,YBX1_negation,2.276162367719246e-24,38
