,gene_1,gene_2,HG_pval,TP,TN,q_value,HG_rank,CCS,MGD,CCS_rank,rank,Plot
1910,HSF1,RFXANK,3.3492280872260125e-16,0.21,1.0,2.2229791846740788e-14,54,1.4705137849867516,0.2945137849867517,5,1,1.0
1307,FLI1,RFXANK,6.0137781817798e-14,0.21,0.995,3.0986783368223288e-12,76,1.4555149933385598,0.29151499333855985,9,2,1.0
1652,HES1,RFXANK,3.3451826246037e-11,0.16,0.9975,1.1196354835853066e-09,116,1.512940277093623,0.30294027709362326,1,3,1.0
2552,RFXANK,ATM_negation,2.0506171259557312e-16,0.31,0.9775,1.5151352198571026e-14,53,1.3030073624313279,0.2610073624313279,76,4,1.0
2267,MYC,RFXANK,7.183146056244622e-15,0.31,0.97,4.1366470523902855e-13,68,1.2805026838129634,0.2565026838129633,90,5,1.0
1162,ETS1,RFXANK,1.554348798845876e-09,0.2,0.98,3.876961717376083e-08,157,1.420217021351298,0.2842170213512979,15,6,1.0
2543,RFXANK,STAT1,3.2756633913827294e-09,0.18,0.985,7.6811364315298e-08,167,1.4555343945069454,0.2915343945069452,8,7,1.0
2555,RFXANK,CDX2_negation,3.31763113352815e-14,0.32,0.9625,1.7797045916296215e-12,73,1.247960571254493,0.24996057125449306,103,8,1.0
2568,RFXANK,HOXA10_negation,7.198356052077602e-25,0.46,0.965,1.4836190684176782e-22,19,1.1153807062430003,0.22338070624300033,166,9,1.0
2580,RFXANK,STAT3_negation,1.9572627113574674e-08,0.16,0.9875,4.165565640041218e-07,184,1.4830833769054799,0.2970833769054798,3,10,1.0
2152,KLF4,RFXANK,4.911859578455491e-16,0.36,0.9575,3.205807018205284e-14,60,1.1929391336532758,0.2389391336532759,130,11,1.0
2432,POU2F2,RFXANK,2.5762994170587002e-24,0.46,0.9625,4.804185008191367e-22,21,1.1077788909085902,0.22177889090859015,169,12,1.0
2588,RFXANK,ZBTB2_negation,1.2148124893935956e-18,0.41,0.9525,1.2197963355039283e-16,39,1.1279120345638023,0.22591203456380232,156,13,1.0
1378,FOSL2,RFXANK,4.067789995275771e-08,0.17,0.9825,7.847027399753654e-07,198,1.4580406601711058,0.2920406601711055,6,14,1.0
2567,RFXANK,HDAC9_negation,5.817079272922359e-10,0.24,0.9675,1.5288377471653662e-08,149,1.3426973962777928,0.2686973962777929,55,15,1.0
2584,RFXANK,WT1_negation,3.278727284444245e-19,0.43,0.9475,3.470134066455044e-17,37,1.0928442551727864,0.2188442551727864,176,16,1.0
2550,RFXANK,ATF1_negation,8.588492270539095e-12,0.3,0.955,3.092785338747373e-10,108,1.2454737067587178,0.24947370675871794,105,17,1.0
1517,GTF2I,RFXANK,8.771103146069023e-09,0.22,0.9675,1.9854127121390923e-07,173,1.3627087192543055,0.27270871925430556,42,18,1.0
2577,RFXANK,SEC14L2_negation,7.711716467365467e-14,0.35,0.9475,3.682814839780874e-12,82,1.1729472118451485,0.23494721184514844,136,19,1.0
2033,IRF1,RFXANK,4.692102536999172e-12,0.31,0.9525,1.733422031593279e-10,105,1.2279686494463657,0.24596864944636565,117,20,1.0
1718,HIF1A,RFXANK,4.3382426408622995e-10,0.26,0.96,1.1556842300419569e-08,147,1.300539899103938,0.26053989910393804,78,21,1.0
2571,RFXANK,NFATC3_negation,7.389578118476432e-11,0.29,0.9525,2.375842425870014e-09,121,1.2477751334022498,0.24977513340224983,104,22,0.0
2539,RFXANK,SF1,9.433679142928171e-08,0.19,0.9725,1.686862444004873e-06,219,1.407929334387895,0.2819293343878949,25,23,0.0
2323,PARP1,RFXANK,6.874030403009971e-08,0.21,0.965,1.2941684162589926e-06,207,1.3655222434494085,0.2735222434494087,39,24,1.0
35,ASH1L,RFXANK,6.874030403009971e-08,0.21,0.965,1.2941684162589926e-06,208,1.3653556680267063,0.2733556680267063,40,25,1.0
2545,RFXANK,TFDP3,3.459756815773195e-07,0.18,0.9725,5.692608273347828e-06,237,1.4178325763658368,0.28383257636583703,17,26,0.0
2573,RFXANK,PML_negation,3.459756815773195e-07,0.18,0.9725,5.692608273347828e-06,236,1.4178325763658368,0.28383257636583703,19,27,0.0
2378,PER1,RFXANK,3.459756815773195e-07,0.18,0.9725,5.692608273347828e-06,235,1.4178325763658368,0.28383257636583703,20,28,1.0
2570,RFXANK,MLLT10_negation,3.459756815773195e-07,0.18,0.9725,5.692608273347828e-06,234,1.4178325763658368,0.28383257636583703,21,29,0.0
2210,MLLT3,RFXANK,3.459756815773195e-07,0.18,0.9725,5.692608273347828e-06,233,1.4178325763658368,0.28383257636583703,22,30,1.0
782,DMAP1,RFXANK,3.459756815773195e-07,0.18,0.9725,5.692608273347828e-06,232,1.4178325763658368,0.28383257636583703,23,31,1.0
366,CEBPB,HSF1,1.1179348193199743e-12,0.18,0.9975,4.42205328531012e-11,97,1.1276111292092321,0.22761112920923227,158,32,1.0
2585,RFXANK,WWTR1_negation,3.459756815773195e-07,0.18,0.9725,5.692608273347828e-06,238,1.4178325763658368,0.28383257636583703,18,33,0.0
3508,ERG_negation,ZBTB2_negation,1.884693809554778e-11,0.3,0.9525,6.417792137579573e-10,115,1.1470612965494014,0.22706129654940138,147,34,1.0
2558,RFXANK,CREM_negation,2.1880326227716267e-09,0.28,0.945,5.403978112736149e-08,158,1.2354232905264588,0.24742329052645878,112,35,0.0
377,CEBPB,RFXANK,4.264242670617142e-35,0.62,0.95,2.0873467872670911e-32,8,0.9102360827200121,0.18223608272001202,283,36,1.0
2566,RFXANK,HDAC1_negation,1.5424346579862857e-10,0.34,0.925,4.7188860317767926e-09,128,1.1154965745144674,0.2234965745144675,165,37,0.0
2561,RFXANK,ESR1_negation,8.298794618429973e-07,0.19,0.965,1.23566843063771e-05,263,1.385366991003219,0.27736699100321904,30,38,0.0
208,ATF6,RFXANK,1.3513170222857296e-08,0.28,0.9375,2.9562890833915736e-07,179,1.2129315942002474,0.24293159420024768,121,39,1.0
2586,RFXANK,YBX1_negation,1.5740820020984505e-06,0.19,0.9625,2.2496734015392453e-05,274,1.3779317510915112,0.2759317510915112,32,40,0.0
