"","BestCluster","Value"
"HIVEP2",3,0.858630952380952
"GABPA",1,0.75
"POU5F1",1,0.75
"CEBPB",4,0.74625
"STAT5A",3,0.741071428571429
"MLLT10",5,0.738861386138614
"WT1",4,0.73375
"JUN",2,0.705607476635514
"SNAI1",3,0.703869047619048
"NFKB1",4,0.7
"ZNF143",3,0.699404761904762
"CREBBP",2,0.697429906542056
"SMAD4",1,0.693287037037037
"CREB1",3,0.691964285714286
"TWIST1",2,0.689252336448598
"USF1",1,0.6875
"ELK1",3,0.669642857142857
"PAX5",1,0.668981481481482
"YY1",3,0.666666666666667
"EGR3",3,0.663690476190476
"PPARG",2,0.661214953271028
"RFXANK",1,0.66087962962963
"ESRRA",3,0.654761904761905
"IRF2",1,0.650462962962963
"HDAC1",1,0.643518518518518
"ESR2",3,0.641369047619048
"TRIM16",2,0.64018691588785
"HIF1A",3,0.639880952380952
"MYCN",4,0.63375
"ATM",2,0.633177570093458
"FOSB",4,0.63125
"VDR",3,0.629464285714286
"ELF1",1,0.625
"ETV1",1,0.625
"IRF4",2,0.625
"KHSRP",1,0.625
"NKX2-5",1,0.625
"SOX17",1,0.625
"TFAP2A",3,0.619047619047619
"SNAI2",5,0.618811881188119
"CREB3",2,0.617990654205608
"ILF3",1,0.616898148148148
"ELL",5,0.613861386138614
"STAT6",4,0.61375
"MEF2C",4,0.61125
"KLF4",3,0.610119047619048
"ATF4",4,0.61
"FOSL2",1,0.607638888888889
"GLI1",2,0.605140186915888
"ING1",3,0.601190476190476
"HIPK2",2,0.599299065420561
"USF2",3,0.595238095238095
"GATA1",3,0.59375
"TCF4",2,0.593457943925234
"SP3",2,0.592289719626168
"POU2F2",5,0.591584158415842
"SP2",2,0.591121495327103
"AHR",3,0.586309523809524
"TNFAIP3",4,0.58375
"ZNF382",4,0.58375
"STAT3",1,0.575231481481482
"RUNX1",2,0.574766355140187
"POU4F2",3,0.568452380952381
"RELA",2,0.566588785046729
"ETS1",5,0.565594059405941
"BCL6",3,0.5625
"DACH1",3,0.558035714285714
"SOX2",4,0.5575
"ZBTB7A",4,0.5575
"SRF",2,0.55607476635514
"PPARA",1,0.555555555555556
"HNRNPD",4,0.5525
"NFKBIA",5,0.54950495049505
"NR5A1",2,0.547897196261682
"GLI2",4,0.54625
"NR3C1",1,0.545138888888889
"ETV4",3,0.544642857142857
"ZNF148",3,0.544642857142857
"NFRKB",4,0.5375
"HDGF",2,0.537383177570093
"HES1",4,0.53625
"NFIC",5,0.535891089108911
"NKX3-1",2,0.535046728971963
"NCOA6",3,0.53125
"YBX1",1,0.53125
"ZBTB2",3,0.529761904761905
"SP1",3,0.52827380952381
"PER1",3,0.526785714285714
"AR",4,0.52
"HDAC2",3,0.519345238095238
"JUND",3,0.516369047619048
"RXRA",3,0.516369047619048
"LYL1",3,0.511904761904762
"TFAP2B",4,0.50625
"HDAC3",3,0.505952380952381
"HOXA10",1,0.50462962962963
"HSF2",2,0.503504672897196
"CEBPZ",1,0.5
"E2F6",1,0.5
"EP300",2,0.5
"ETS2",2,0.5
"GATA4",1,0.5
"HOPX",1,0.5
"IKBKB",1,0.5
"IRF1",4,0.5
"MBD2",1,0.5
"FLI1",1,0.498842592592593
"POU2AF1",1,0.497685185185185
"ATF5",2,0.497663551401869
"HMGN1",5,0.496287128712871
"BRPF1",2,0.495327102803738
"SLA2",2,0.495327102803738
"NFAT5",4,0.49125
"NFE2L2",2,0.489485981308411
"SMAD3",2,0.489485981308411
"DMAP1",5,0.488861386138614
"MLLT3",5,0.488861386138614
"NR1I2",2,0.488317757009346
"POU4F1",3,0.488095238095238
"FOS",1,0.486111111111111
"MYC",4,0.485
"ERCC2",5,0.483910891089109
"CHD4",1,0.483796296296296
"RBMX",3,0.483630952380952
"MTA1",2,0.482476635514019
"GABPB2",2,0.482476635514019
"ZIC1",2,0.481308411214953
"TBP",3,0.480654761904762
"CDX2",3,0.479166666666667
"TP53",1,0.474537037037037
"ATF2",4,0.4725
"GATA2",2,0.47196261682243
"PARP1",2,0.47196261682243
"PTTG1",2,0.470794392523364
"SATB1",2,0.470794392523364
"TWIST2",3,0.470238095238095
"NFYC",5,0.465346534653465
"CEBPA",3,0.464285714285714
"HMGA1",2,0.460280373831776
"MEF2A",4,0.45875
"PITX1",4,0.45875
"HBP1",1,0.458333333333333
"NFATC3",3,0.453869047619048
"TP63",3,0.453869047619048
"KLF8",3,0.450892857142857
"KLF5",4,0.44875
"NFYB",5,0.448019801980198
"CIITA",5,0.445544554455446
"MYB",5,0.440594059405941
"HOXC13",2,0.440420560747664
"HOXA9",4,0.43875
"CREB5",3,0.436011904761905
"RUNX3",3,0.433035714285714
"ERG",5,0.426980198019802
"TP73",3,0.425595238095238
"PPARD",2,0.422897196261682
"WWTR1",3,0.422619047619048
"SMARCA4",4,0.4225
"E2F1",5,0.422029702970297
"VHL",5,0.420792079207921
"HSF1",4,0.415
"NPM1",2,0.414719626168224
"HDAC4",4,0.41375
"EZH2",1,0.409722222222222
"MTF1",3,0.40922619047619
"BRCA1",5,0.40470297029703
"MYBL2",3,0.40327380952381
"RFX5",1,0.402777777777778
"KLF2",5,0.402227722772277
"NRF1",1,0.40162037037037
"SPDEF",4,0.40125
"NF1",3,0.400297619047619
"CTNNB1",4,0.395
"DEK",4,0.38625
"EGR1",3,0.385416666666667
"TFDP3",3,0.383928571428571
"CEBPE",4,0.375
"GFI1",1,0.375
"HOXA1",4,0.375
"SMARCA1",2,0.375
"SPI1",2,0.372663551401869
"ARNT",2,0.371495327102804
"BACH2",1,0.369212962962963
"RFXAP",3,0.369047619047619
"SIRT1",1,0.365740740740741
"SMAD7",1,0.365740740740741
"ABL1",5,0.363861386138614
"SF1",3,0.363095238095238
"LMO2",3,0.363095238095238
"NANOG",3,0.363095238095238
"MEF2D",2,0.36214953271028
"HLX",5,0.361386138613861
"PLAGL2",3,0.360119047619048
"ZNF224",3,0.358630952380952
"SMARCB1",2,0.355140186915888
"PML",5,0.352722772277228
"RFX1",3,0.352678571428571
"HOXA7",4,0.35
"PIAS1",3,0.349702380952381
"SEC14L2",5,0.344059405940594
"ESR1",5,0.33539603960396
"IRF7",3,0.333333333333333
"STAT4",2,0.328271028037383
"KLF6",3,0.324404761904762
"CREM",4,0.3225
"ATF6",3,0.313988095238095
"PKNOX1",1,0.3125
"KLF10",3,0.308035714285714
"ZBTB16",5,0.300742574257426
"MSX2",3,0.300595238095238
"CEBPD",3,0.297619047619048
