,0,1,2,3,4,5,6,7
0,2.0,3.0,4.0,0.0,3.0,4.0,0.0,0.0
1,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
2,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
3,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
4,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
5,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
6,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0
7,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
8,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
9,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
10,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
11,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
12,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0
13,2.0,4.0,4.0,0.0,3.0,3.0,3.0,2.0
14,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
15,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0
16,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
17,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
18,2.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0
19,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
20,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0
21,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
22,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0
23,2.0,4.0,4.0,0.0,3.0,3.0,3.0,2.0
24,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
25,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
26,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
27,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
28,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
29,2.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0
30,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
31,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
32,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
33,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
34,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
35,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
36,2.0,4.0,1.0,0.0,3.0,3.0,1.0,4.0
37,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
38,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
39,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
40,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
41,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
42,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
43,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
44,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
45,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
46,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
47,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
48,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
49,0.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0
50,2.0,4.0,3.0,0.0,3.0,4.0,1.0,2.0
51,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
52,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
53,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
54,2.0,4.0,4.0,0.0,3.0,4.0,0.0,2.0
55,2.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0
56,2.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0
57,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
58,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
59,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
60,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
61,2.0,4.0,3.0,0.0,3.0,4.0,2.0,2.0
62,2.0,4.0,4.0,0.0,3.0,3.0,3.0,2.0
63,1.0,3.0,4.0,4.0,4.0,3.0,0.0,0.0
64,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
65,2.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0
66,2.0,2.0,4.0,0.0,3.0,4.0,1.0,2.0
67,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
68,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
69,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
70,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
71,0.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0
72,2.0,4.0,4.0,0.0,3.0,4.0,1.0,0.0
73,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
74,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0
75,2.0,2.0,4.0,0.0,3.0,3.0,3.0,2.0
76,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
77,2.0,2.0,4.0,0.0,3.0,4.0,1.0,2.0
78,2.0,4.0,4.0,0.0,3.0,4.0,1.0,0.0
79,2.0,4.0,4.0,0.0,3.0,4.0,2.0,2.0
80,2.0,4.0,4.0,0.0,3.0,4.0,1.0,2.0
