"","1","2","3","4","5"
"ABL1",0.354166666666667,0.351635514018692,0.324404761904762,0.35,0.363861386138614
"AHR",0.472222222222222,0.559579439252336,0.586309523809524,0.465,0.444306930693069
"AR",0.487268518518518,0.34696261682243,0.508928571428571,0.52,0.462871287128713
"ARNT",0.358796296296296,0.371495327102804,0.370535714285714,0.37125,0.36509900990099
"ASH1L",0.119212962962963,0.164719626168224,0.15327380952381,0.1125,0.126237623762376
"ATF1",0.263888888888889,0.253504672897196,0.255952380952381,0.2675,0.252475247524752
"ATF2",0.424768518518519,0.382009345794392,0.370535714285714,0.4725,0.465346534653465
"ATF4",0.608796296296296,0.605140186915888,0.608630952380952,0.61,0.608910891089109
"ATF5",0.496527777777778,0.497663551401869,0.492559523809524,0.485,0.491336633663366
"ATF6",0.252314814814815,0.260514018691589,0.313988095238095,0.295,0.257425742574257
"ATM",0.563657407407407,0.633177570093458,0.552083333333333,0.55625,0.565594059405941
"BACH2",0.369212962962963,0.360981308411215,0.324404761904762,0.32875,0.351485148514851
"BCL6",0.434027777777778,0.424065420560748,0.5625,0.51875,0.46039603960396
"BRCA1",0.37962962962963,0.288551401869159,0.211309523809524,0.355,0.40470297029703
"BRPF1",0.480324074074074,0.495327102803738,0.44047619047619,0.47,0.477722772277228
"CDX2",0.344907407407407,0.467289719626168,0.479166666666667,0.42,0.294554455445545
"CEBPA",0.37037037037037,0.313084112149533,0.464285714285714,0.39,0.368811881188119
"CEBPB",0.494212962962963,0.488317757009346,0.462797619047619,0.74625,0.476485148514851
"CEBPD",0.278935185185185,0.214953271028037,0.297619047619048,0.2575,0.278465346534653
"CEBPE",0.344907407407407,0.309579439252336,0.325892857142857,0.375,0.375
"CEBPZ",0.5,0.5,0.5,0.5,0.5
"CHD4",0.483796296296296,0.25,0.294642857142857,0.25,0.257425742574257
"CIITA",0.196759259259259,0.364485981308411,0.273809523809524,0.42125,0.445544554455446
"CREB1",0.607638888888889,0.606308411214953,0.691964285714286,0.5675,0.560643564356436
"CREB3",0.603009259259259,0.617990654205608,0.617559523809524,0.60625,0.59529702970297
"CREB5",0.412037037037037,0.424065420560748,0.436011904761905,0.4275,0.41460396039604
"CREBBP",0.335648148148148,0.697429906542056,0.526785714285714,0.55875,0.330445544554455
"CREM",0.318287037037037,0.297897196261682,0.251488095238095,0.3225,0.298267326732673
"CTNNB1",0.364583333333333,0.341121495327103,0.379464285714286,0.395,0.368811881188119
"DACH1",0.435185185185185,0.504672897196262,0.558035714285714,0.43625,0.415841584158416
"DDIT3",0.19212962962963,0.19392523364486,0.220238095238095,0.195,0.15470297029703
"DEK",0.240740740740741,0.293224299065421,0.364583333333333,0.38625,0.377475247524752
"DMAP1",0.479166666666667,0.476635514018692,0.449404761904762,0.475,0.488861386138614
"DNMT1",0.228009259259259,0.195093457943925,0.209821428571429,0.24125,0.278465346534653
"E2F1",0.346064814814815,0.365654205607477,0.294642857142857,0.3275,0.422029702970297
"E2F6",0.5,0.498831775700935,0.5,0.5,0.5
"EGR1",0.363425925925926,0.29088785046729,0.385416666666667,0.34625,0.34529702970297
"EGR3",0.637731481481482,0.630841121495327,0.663690476190476,0.6325,0.629950495049505
"ELF1",0.625,0.600467289719626,0.516369047619048,0.625,0.625
"ELK1",0.482638888888889,0.56892523364486,0.669642857142857,0.4725,0.477722772277228
"ELK4",0.244212962962963,0.156542056074766,0.133928571428571,0.26875,0.285891089108911
"ELL",0.603009259259259,0.601635514018692,0.571428571428571,0.59875,0.613861386138614
"EP300",0.422453703703704,0.5,0.491071428571429,0.4825,0.415841584158416
"ERCC2",0.452546296296296,0.467289719626168,0.418154761904762,0.45625,0.483910891089109
"ERG",0.391203703703704,0.369158878504673,0.424107142857143,0.365,0.426980198019802
"ESR1",0.266203703703704,0.314252336448598,0.25,0.24875,0.33539603960396
"ESR2",0.451388888888889,0.610981308411215,0.641369047619048,0.495,0.450495049504951
"ESRRA",0.539351851851852,0.43107476635514,0.654761904761905,0.53375,0.486386138613861
"ETS1",0.491898148148148,0.408878504672897,0.450892857142857,0.52125,0.565594059405941
"ETS2",0.496527777777778,0.5,0.482142857142857,0.3575,0.284653465346535
"ETV1",0.625,0.625,0.625,0.625,0.625
"ETV4",0.420138888888889,0.482476635514019,0.544642857142857,0.43875,0.491336633663366
"EZH2",0.409722222222222,0.40303738317757,0.379464285714286,0.40875,0.400990099009901
"FLI1",0.498842592592593,0.468457943925234,0.453869047619048,0.43625,0.482673267326733
"FOS",0.486111111111111,0.473130841121495,0.456845238095238,0.4825,0.47029702970297
"FOSB",0.626157407407407,0.603971962616822,0.611607142857143,0.63125,0.627475247524752
"FOSL2",0.607638888888889,0.448598130841121,0.4375,0.525,0.580445544554455
"FOXO1",0.164351851851852,0.116822429906542,0.126488095238095,0.1025,0.158415841584158
"GABPA",0.75,0.704439252336449,0.75,0.7425,0.746287128712871
"GABPB2",0.408564814814815,0.482476635514019,0.376488095238095,0.435,0.405940594059406
"GATA1",0.506944444444445,0.532710280373832,0.59375,0.55375,0.516089108910891
"GATA2",0.405092592592593,0.47196261682243,0.455357142857143,0.375,0.375
"GATA4",0.5,0.5,0.5,0.5,0.5
"GFI1",0.375,0.375,0.375,0.375,0.375
"GLI1",0.327546296296296,0.605140186915888,0.337797619047619,0.31,0.326732673267327
"GLI2",0.534722222222222,0.517523364485981,0.538690476190476,0.54625,0.535891089108911
"GTF2I",0.25,0.25,0.25,0.25,0.25
"HBP1",0.458333333333333,0.400700934579439,0.395833333333333,0.3475,0.362623762376238
"HDAC1",0.643518518518518,0.543224299065421,0.491071428571429,0.57125,0.504950495049505
"HDAC2",0.501157407407407,0.504672897196262,0.519345238095238,0.50125,0.502475247524752
"HDAC3",0.417824074074074,0.505841121495327,0.505952380952381,0.47875,0.422029702970297
"HDAC4",0.388888888888889,0.355140186915888,0.37202380952381,0.41375,0.396039603960396
"HDAC9",0.136574074074074,0.13785046728972,0.186011904761905,0.16,0.141089108910891
"HDGF",0.534722222222222,0.537383177570093,0.517857142857143,0.52,0.537128712871287
"HES1",0.5,0.503504672897196,0.50297619047619,0.53625,0.5
"HIF1A",0.434027777777778,0.475467289719626,0.639880952380952,0.51375,0.457920792079208
"HIPK2",0.543981481481481,0.599299065420561,0.578869047619048,0.47375,0.565594059405941
"HIVEP2",0.837962962962963,0.832943925233645,0.858630952380952,0.84125,0.841584158415842
"HLX",0.344907407407407,0.283878504672897,0.31547619047619,0.34125,0.361386138613861
"HMGA1",0.458333333333333,0.460280373831776,0.398809523809524,0.43,0.420792079207921
"HMGN1",0.494212962962963,0.462616822429907,0.430059523809524,0.49,0.496287128712871
"HNRNPD",0.534722222222222,0.519859813084112,0.505952380952381,0.5525,0.525990099009901
"HOPX",0.5,0.5,0.5,0.5,0.5
