"","BestCluster","Value"
"RFXANK",5,0.866336633663366
"FOSB",1,0.864583333333333
"WWTR1",5,0.841584158415842
"NKX3-1",5,0.805693069306931
"MYC",4,0.7875
"PITX1",4,0.7875
"RBMX",3,0.776785714285714
"ABL1",2,0.773364485981308
"DDIT3",4,0.77
"MEF2A",4,0.76625
"ETV1",1,0.75
"HIPK2",1,0.75
"ILF3",5,0.75
"SIRT1",1,0.75
"ATF1",2,0.748831775700935
"MLLT10",5,0.738861386138614
"GABPA",3,0.733630952380952
"ERG",3,0.727678571428571
"CEBPD",3,0.709821428571429
"AHR",3,0.675595238095238
"KLF2",3,0.675595238095238
"HSF1",4,0.665
"ARNT",3,0.654761904761905
"LYL1",3,0.65327380952381
"HIVEP2",3,0.648809523809524
"CREM",1,0.643518518518518
"CEBPB",4,0.64
"ETS1",3,0.639880952380952
"SMARCB1",3,0.639880952380952
"CTNNB1",4,0.6375
"HDAC3",3,0.635416666666667
"ESR1",5,0.633663366336634
"ATF2",2,0.625
"GFI1",1,0.625
"HDAC1",1,0.625
"MEN1",5,0.625
"MYBL2",1,0.625
"PAX3",1,0.625
"TFAP2B",1,0.625
"TP73",1,0.625
"NR4A1",3,0.625
"ZBTB16",1,0.623842592592593
"HOXA7",4,0.62375
"SRF",5,0.620049504950495
"NRF1",3,0.616071428571429
"SP1",3,0.613095238095238
"ZNF224",1,0.612268518518519
"NFAT5",1,0.611111111111111
"SOX2",3,0.608630952380952
"NFIC",3,0.607142857142857
"TP63",3,0.601190476190476
"MTF1",3,0.59672619047619
"NCOA6",3,0.589285714285714
"DEK",1,0.58912037037037
"PAX5",1,0.586805555555556
"ZNF382",4,0.58125
"NFRKB",2,0.580607476635514
"IKBKB",3,0.569940476190476
"NKX2-5",3,0.566964285714286
"POU2AF1",4,0.56375
"PIAS1",3,0.558035714285714
"GATA1",4,0.55625
"NANOG",4,0.5525
"ZNF383",5,0.551980198019802
"MLLT3",3,0.550595238095238
"STAT6",3,0.550595238095238
"HNRNPD",4,0.5475
"HBP1",1,0.546296296296296
"RELA",4,0.545
"SMAD7",4,0.545
"GABPB2",2,0.543224299065421
"KLF5",4,0.5425
"BCL6",3,0.541666666666667
"STAT1",1,0.539351851851852
"NFE2L2",3,0.537202380952381
"SMAD3",3,0.53125
"SNAI1",3,0.53125
"MYBL1",3,0.525297619047619
"KLF4",2,0.523364485981308
"FOS",2,0.519859813084112
"SMAD4",4,0.51875
"ERCC2",3,0.517857142857143
"ZIC1",2,0.517523364485981
"HDAC4",4,0.515
"CREBBP",5,0.50990099009901
"CEBPZ",1,0.5
"CHD4",2,0.5
"EGR3",1,0.5
"ELF1",1,0.5
"HDGF",1,0.5
"HLX",1,0.5
"IRF4",1,0.5
"POU5F1",1,0.5
"SATB1",1,0.5
"TNFAIP3",1,0.5
"VHL",1,0.5
"NFKB1",2,0.5
"HOXA10",1,0.497685185185185
"NFATC3",1,0.496527777777778
"ZNF148",2,0.496495327102804
"ATM",5,0.496287128712871
"PPARG",3,0.495535714285714
"ZNF143",3,0.492559523809524
"RB1",5,0.491336633663366
"HIF1A",4,0.49125
"JUND",3,0.489583333333333
"PML",5,0.488861386138614
"SEC14L2",1,0.488425925925926
"SPDEF",1,0.487268518518518
"TWIST2",3,0.486607142857143
"E2F6",5,0.486386138613861
"ZBTB7A",3,0.485119047619048
"PTTG1",4,0.48375
"RXRA",4,0.48375
"TFDP3",3,0.482142857142857
"TBP",3,0.480654761904762
"PPARD",2,0.480140186915888
"HDAC9",1,0.479166666666667
"ESR2",4,0.4775
"ELK1",5,0.475247524752475
"NR3C1",3,0.474702380952381
"ESRRA",2,0.474299065420561
"PARP1",4,0.47375
"ZBTB2",5,0.471534653465347
"MEF2D",4,0.4675
"NF1",5,0.465346534653465
"NFYC",2,0.462616822429907
"TFAP2A",2,0.461448598130841
"MTA1",3,0.461309523809524
"BRCA1",3,0.459821428571429
"MSX2",2,0.45911214953271
"NR5A1",3,0.458333333333333
"HMGN1",5,0.456683168316832
"USF2",1,0.454861111111111
"HSF2",3,0.453869047619048
"STAT4",1,0.453703703703704
"LMO2",3,0.452380952380952
"E2F1",2,0.452102803738318
"STAT5A",3,0.446428571428571
"MITF",3,0.444940476190476
"NFYB",3,0.444940476190476
"HOXC13",2,0.440420560747664
"ZNF76",3,0.431547619047619
"RFX5",2,0.43107476635514
"EZH2",3,0.430059523809524
"GATA2",3,0.430059523809524
"KLF8",3,0.430059523809524
"WT1",3,0.427083333333333
"ATF4",2,0.422897196261682
"GTF2I",3,0.422619047619048
"HES1",4,0.4225
"SMARCA1",3,0.421130952380952
"RORA",3,0.419642857142857
"ASH1L",3,0.419642857142857
"GLI1",2,0.419392523364486
"SMARCA4",3,0.412202380952381
"YY1",1,0.41087962962963
"SNAI2",3,0.410714285714286
"NFYA",3,0.40625
"ETS2",5,0.405940594059406
"ATF6",5,0.40470297029703
"DACH1",2,0.397196261682243
"FOSL2",4,0.39625
"CREB5",3,0.395833333333333
"SOX17",3,0.392857142857143
"PLAGL2",3,0.391369047619048
"SLA2",1,0.390046296296296
"KLF6",3,0.389880952380952
"RUNX3",4,0.38875
"SPI1",3,0.383928571428571
"USF1",4,0.38125
"CEBPA",4,0.3775
"POU2F2",4,0.3775
"POU4F1",5,0.375
"GATA4",1,0.375
"NR1I2",5,0.375
"RFXAP",2,0.375
"XBP1",1,0.373842592592593
"EP300",2,0.373831775700935
"ELK4",3,0.369047619047619
"EGR1",1,0.368055555555556
"AR",4,0.365
"CIITA",4,0.365
"RUNX1",4,0.36375
"HDAC2",2,0.363317757009346
"ING4",3,0.357142857142857
"FOXO1",3,0.354166666666667
"ELL",1,0.354166666666667
"POU4F2",3,0.351190476190476
"STAT3",5,0.346534653465347
"TRIM16",3,0.34375
"MYCN",2,0.343457943925234
"TWIST1",2,0.343457943925234
"JUN",3,0.342261904761905
"ETV4",3,0.337797619047619
"DNMT1",5,0.33539603960396
"CDX2",5,0.334158415841584
"TRIB3",5,0.330445544554455
"NPM1",2,0.327102803738318
"KLF10",3,0.324404761904762
"SP2",2,0.322429906542056
"TCF4",4,0.31625
"HMGA1",3,0.3125
"PKNOX1",1,0.3125
"PGR",3,0.311011904761905
"IRF1",1,0.310185185185185
"PPARA",3,0.305059523809524
"IRF2",1,0.298611111111111
"HOPX",2,0.285046728971963
"YBX1",1,0.275462962962963
"BACH2",3,0.267857142857143
"IRF7",3,0.267857142857143
"NFKBIA",2,0.26518691588785
"TP53",3,0.264880952380952
"ZEB2",3,0.251488095238095
"GLI2",1,0.25
"ING1",2,0.25
"MBD2",1,0.25
"MYB",1,0.25
"HOXA9",1,0.248842592592593
"BRPF1",2,0.246495327102804
"CREB3",2,0.242990654205607
"KHSRP",2,0.23714953271028
"FLI1",4,0.22625
"PER1",3,0.226190476190476
"VDR",2,0.22196261682243
"CREB1",3,0.205357142857143
"CEBPE",2,0.202102803738318
"SF1",3,0.199404761904762
"ATF5",4,0.1875
"RFX1",1,0.1875
"SP3",4,0.1575
"MEF2C",4,0.135
"HOXA1",4,0.125
"DMAP1",3,0.0639880952380952
