gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
VDR_negation,2.014164853905687e-26,4.631825338206645e-25,88,-0.124,12.755623329827188,1.4795867194608618e-28,9.657881503700327,4.551791979068595e-22,-1.4722085568817826,1.4722085568817826,0.5370370370370371,0.923469387755102,4.353915817914246e-23,3,1,1,1.0
PAX5,4.61135174228205e-32,1.0559754309906274e-30,99,0.501,14.34317312321518,5.6182700929802384e-30,11.218261190571535,3.317287204635635e-29,0.4079114032640935,0.4079114032640935,0.6203703703703703,0.9183673469387755,1.2407711314139873e-28,2,4,2,1.0
RFX1,9.154641753411544e-23,2.2026299254860877e-21,126,0.126,12.724923839195588,5.534624499993723e-29,9.086231196627722,1.025315771344134e-19,1.1772948251441604,1.1772948251441604,0.5,0.8163265306122449,1.1502622944205125e-19,5,2,3,1.0
CHD4_negation,2.307622021920615e-77,2.2491772376990402e-76,119,-0.499,34.138737432095425,3.873989370624264e-73,14.158875500440416,1.646070585910482e-45,-0.3675435983330972,0.3675435983330972,0.9351851851851852,0.9540816326530612,1.0571133017185488e-73,1,6,4,1.0
CIITA_negation,1.9630216861528405e-18,4.5658735396209875e-17,49,-0.249,10.515609145550439,9.118571940621197e-20,8.96513159210313,3.099105888904936e-19,-0.5967575745367791,0.5967575745367791,0.3425925925925926,0.9693877551020408,1.788300469684887e-15,6,3,5,1.0
DEK,1.1802251815334856e-23,3.0646884855821874e-22,55,0.626,9.20361596606003,2.875613309446113e-16,8.013258613681575,1.1170839741886596e-15,0.37561002878824273,0.37561002878824273,0.2777777777777778,0.9362244897959183,2.0577194117480402e-20,4,5,6,1.0
SPI1,5.42288050522996e-10,9.928912260729307e-09,75,0.376,4.5745591858160175,9.65504279203254e-06,4.619461001166321,3.847381832651052e-06,0.31495856072159834,0.31495856072159834,0.28703703703703703,0.8877551020408163,2.7450522132604555e-07,8,9,7,1.0
ERG_negation,1.1555165148085103e-06,1.536306211693578e-05,53,-0.374,5.158373038460202,6.824709471428009e-07,4.805623436693255,1.5427002189003124e-06,-0.3211867981703402,0.3211867981703402,0.24074074074074073,0.9311224489795918,0.0002777168921138391,12,7,8,1.0
FOXO1_negation,6.844356273933598e-07,9.619128634370299e-06,201,-0.374,4.608908516963109,8.392230440499084e-06,4.239990501274045,2.2352924526563856e-05,-0.272058751458577,0.272058751458577,0.5925925925925926,0.6505102040816326,0.00018083961832616162,11,10,9,1.0
CEBPD_negation,4.584530793606113e-10,8.264089407921059e-09,126,-0.624,5.553341954337418,1.1394289813645935e-07,5.236241595639394,1.6387941018038746e-07,-0.19410970115917775,0.19410970115917775,0.4722222222222222,0.8086734693877551,2.427576263576811e-07,7,14,10,1.0
USF2,7.003491140634482e-09,1.1971448153015033e-07,29,0.501,4.522954182500383,1.185652645195446e-05,4.151234269386457,3.306870595224283e-05,0.18358666490319975,0.18358666490319975,0.16666666666666666,0.9719387755102041,3.125878128842814e-06,9,16,11,1.0
YBX1,2.543381277538637e-06,3.3530169019325824e-05,79,0.251,4.9303323591161865,1.8505300024020115e-06,3.8992568314005056,9.648838533617065e-05,0.20774483420367595,0.20774483420367595,0.26851851851851855,0.8724489795918368,0.000492474357471348,13,12,12,1.0
ARNT_negation,5.15371565702808e-07,7.369218040223879e-06,92,-0.499,3.027612960945794,0.002877250833840497,3.0094379981545956,0.0026173149374431213,-0.12086439612378728,0.12086439612378728,0.28703703703703703,0.8443877551020408,0.00014431385328771764,10,20,13,1.0
YY1,1.8842740042833363e-05,0.00021918093221059666,159,0.376,2.8083827954366494,0.005495118308881622,3.0748769148852753,0.0021058944269640193,0.14910282063706706,0.14910282063706706,0.4444444444444444,0.7168367346938775,0.0024527390033090577,15,17,14,1.0
