,gene_1,gene_2,HG_pval,rank
2554,NPM1,RFXAP,4.3717267112930433e-36,1
3302,SP2,EGR1_negation,3.8463944959150866e-32,2
3326,SP2,SNAI2_negation,3.8463944959150866e-32,3
2553,NPM1,RFX5,1.424677646914222e-30,4
3196,RFXAP,CEBPA_negation,1.836562039500962e-30,5
3183,RFXAP,SP2,1.836562039500962e-30,6
3885,CEBPA_negation,SNAI2_negation,1.836562039500962e-30,7
2598,NPM1,SNAI2_negation,2.4612747994197753e-30,8
2556,NPM1,SP2,1.2450810297209362e-29,9
3149,RFX5,EGR1_negation,2.698924893811267e-29,10
3201,RFXAP,EGR1_negation,3.230492157300321e-29,11
2587,NPM1,MEF2A_negation,8.308239998972927e-29,12
3319,SP2,NR3C1_negation,8.336629503346378e-29,13
3861,CEBPA_negation,EGR1_negation,8.336629503346378e-29,14
3315,SP2,MEF2A_negation,5.514084942927952e-28,15
44,ABL1,SP2,5.514084942927952e-28,16
1441,GATA2,CEBPA_negation,5.514084942927952e-28,17
3819,CDX2_negation,CEBPA_negation,5.514084942927952e-28,18
3878,CEBPA_negation,NR3C1_negation,3.603571004955585e-27,19
2569,NPM1,CEBPA_negation,3.603571004955585e-27,20
2913,PPARD,SP2,3.603571004955585e-27,21
2811,POU2F2,CEBPA_negation,3.603571004955585e-27,22
606,CEBPE,CEBPA_negation,3.603571004955585e-27,23
2589,NPM1,NFIC_negation,7.481651160336062e-27,24
3144,RFX5,CEBPA_negation,2.327306274033953e-26,25
3300,SP2,CTNNB1_negation,2.327306274033953e-26,26
2574,NPM1,EGR1_negation,6.798234792659868e-26,27
3320,SP2,PARP1_negation,1.4856503064388843e-25,28
3317,SP2,NFIC_negation,1.4856503064388843e-25,29
3288,SP2,TFAP2A,1.4856503064388843e-25,30
3870,CEBPA_negation,HDAC3_negation,1.4856503064388843e-25,31
611,CEBPE,EGR1_negation,8.24009356747542e-25,32
3311,SP2,HDAC3_negation,9.37565801495433e-25,33
3131,RFX5,SP2,9.37565801495433e-25,34
3296,SP2,CDX2_negation,9.37565801495433e-25,35
1428,GATA2,SP2,9.37565801495433e-25,36
31,ABL1,NPM1,1.1544936381550617e-24,37
2583,NPM1,HDAC3_negation,1.1544936381550617e-24,38
57,ABL1,CEBPA_negation,5.850410601331849e-24,39
1282,FOS,CEBPA_negation,5.850410601331849e-24,40
414,ATF4,SP2,5.850410601331849e-24,41
3874,CEBPA_negation,MEF2A_negation,5.850410601331849e-24,42
3859,CEBPA_negation,CTNNB1_negation,3.610319173716983e-23,43
3297,SP2,CEBPA_negation,3.610319173716983e-23,44
1446,GATA2,EGR1_negation,3.922701783604188e-23,45
2549,NPM1,PPARD,1.202186559414967e-22,46
593,CEBPE,SP2,2.2037013138276364e-22,47
681,DACH1,SP2,2.2037013138276364e-22,48
1415,GATA2,NPM1,2.2037013138276364e-22,49
3173,RFX5,SNAI2_negation,4.0068738482205816e-22,50
1287,FOS,EGR1_negation,7.027506144348815e-22,51
2798,POU2F2,SP2,1.3306965625793737e-21,52
3879,CEBPA_negation,PARP1_negation,1.3306965625793737e-21,53
231,ARNT,SP2,1.3306965625793737e-21,54
580,CEBPE,NPM1,1.3306965625793737e-21,55
2591,NPM1,NR3C1_negation,1.483870283971028e-21,56
4048,EGR1_negation,NR3C1_negation,1.943840051678867e-21,57
2560,NPM1,TFAP2A,4.051990238467891e-21,58
2572,NPM1,CTNNB1_negation,5.654272261627065e-21,59
2603,NPM1,STAT6_negation,6.881256947648895e-21,60
3331,SP2,STAT6_negation,7.950490854908062e-21,61
2568,NPM1,CDX2_negation,3.2929340442138134e-20,62
3876,CEBPA_negation,NFIC_negation,4.7007277179658536e-20,63
3325,SP2,RUNX1_negation,4.7007277179658536e-20,64
2969,RBMX,SP2,4.7007277179658536e-20,65
3307,SP2,FOSB_negation,4.7007277179658536e-20,66
1269,FOS,SP2,4.7007277179658536e-20,67
2231,MEF2D,SP2,4.7007277179658536e-20,68
3487,TFAP2A,CEBPA_negation,4.7007277179658536e-20,69
4046,EGR1_negation,NFIC_negation,5.891218362774632e-20,70
4055,EGR1_negation,SNAI2_negation,1.4992169707134968e-19,71
218,ARNT,NPM1,1.9330473103991968e-19,72
3166,RFX5,NR3C1_negation,1.9893419616985042e-19,73
2429,NCOA6,SP2,2.7507962201422557e-19,74
2493,NFYB,SP2,2.7507962201422557e-19,75
138,AHR,SP2,2.7507962201422557e-19,76
3890,CEBPA_negation,STAT6_negation,2.7507962201422557e-19,77
3313,SP2,HMGN1_negation,2.7507962201422557e-19,78
2298,MITF,SP2,2.7507962201422557e-19,79
1506,HBP1,SP2,2.7507962201422557e-19,80
3324,SP2,RB1_negation,2.7507962201422557e-19,81
2602,NPM1,STAT1_negation,7.155891040091703e-19,82
2931,PPARD,EGR1_negation,7.730889703781721e-19,83
668,DACH1,NPM1,9.52747813043601e-19,84
2597,NPM1,RUNX1_negation,9.52747813043601e-19,85
3162,RFX5,MEF2A_negation,1.0440159022511023e-18,86
2946,PPARD,NFIC_negation,1.0922065471284207e-18,87
3619,ZNF143,CEBPA_negation,1.5934490299608899e-18,88
244,ARNT,CEBPA_negation,1.5934490299608899e-18,89
3330,SP2,STAT1_negation,1.5934490299608899e-18,90
2926,PPARD,CEBPA_negation,1.5934490299608899e-18,91
694,DACH1,CEBPA_negation,1.5934490299608899e-18,92
3158,RFX5,HDAC3_negation,3.7524244553903046e-18,93
2592,NPM1,PARP1_negation,3.9067098139165116e-18,94
3129,RFX5,RFXAP,9.13745943243154e-18,95
3883,CEBPA_negation,RB1_negation,9.138334195919856e-18,96
3872,CEBPA_negation,HMGN1_negation,9.138334195919856e-18,97
2094,KLF5,SP2,9.138334195919856e-18,98
