gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value,hgrank,fcrank,rank,Plot
CEBPB,1.5835811834455686e-34,3.743228887579372e-33,151,0.501,19.620659496899986,3.583413055598798e-50,11.718392121880703,1.0260082724072569e-31,0.7820406800916179,0.7820406800916179,0.72,0.8025,5.86439192387435e-31,2,1,1,1.0
POU2F2,1.1863431141163132e-19,2.6439588712452526e-18,86,0.376,8.948048461280752,1.3052585855096561e-15,7.714243805132811,1.2170163488068517e-14,0.5801913646445278,0.5801913646445278,0.51,0.9125,1.775229527836098e-16,3,3,2,1.0
RFXANK,6.033213944178159e-35,1.2765542443545113e-33,194,0.626,16.96566086029777,1.2450392272266282e-42,10.006695131515192,1.424312022437811e-23,0.471649198291574,0.471649198291574,0.9,0.74,2.9999024742331015e-31,1,5,3,1.0
PARP1,1.0710196854407316e-07,1.5812369460535388e-06,61,0.501,7.282222951201472,7.196269704077739e-12,5.719327511659806,1.0694647861707839e-08,0.48790200500850234,0.48790200500850234,0.21,0.9,2.6542191594470115e-05,8,4,4,1.0
FLI1,3.840661799319746e-11,7.180426860159603e-10,58,0.251,4.586219477308508,1.015973858428201e-05,4.886693713453075,1.0254343055046002e-06,0.44185187930487047,0.44185187930487047,0.22,0.91,1.6874003121375067e-08,6,6,5,1.0
ETS2,7.6154176738408115e-06,8.679347442732722e-05,93,0.126,3.9812811581520906,0.00011469018886478243,3.17151451854116,0.0015164628760507453,0.6223775298191397,0.6223775298191397,0.35,0.855,0.000862468633069661,12,2,6,1.0
CTNNB1,1.903219055714005e-08,2.9212232415565587e-07,154,0.626,6.259249761262595,3.157389543860942e-09,5.496466420689974,3.8747683522215895e-08,0.2792489443187556,0.2792489443187556,0.53,0.7475,5.4918996941263306e-06,7,7,7,1.0
HSF1,1.8286280217912596e-16,3.9132643599135874e-15,23,0.751,6.270865373825943,4.512827192519396e-09,5.769626021774525,7.944764643660856e-09,0.23909836301207163,0.23909836301207163,0.22,0.9975,2.043593610177096e-13,4,13,8,1.0
ATF5,0.00011025463122030384,0.001002192295547844,121,0.126,3.2932445542513573,0.0012800384561934192,2.7904065765180976,0.0052641889980449465,0.2601503768645096,0.2601503768645096,0.38,0.7925,0.007721809490286668,13,9,9,1.0
HES1,1.0883744302646642e-11,2.1730014080468163e-10,22,0.376,4.601195613384229,1.2186161664468057e-05,2.8244547987495996,0.004736112804517475,0.16486483099941265,0.16486483099941265,0.19,0.9925,6.808737745213358e-09,5,17,10,1.0
FOSL2,5.228536683410413e-06,6.276826833475344e-05,46,0.501,3.679620897958658,0.0003323962524237413,2.978445622023893,0.0028971443213143015,0.2248590887268956,0.2248590887268956,0.2,0.935,0.0006555796914963138,11,14,11,1.0
ELK1,0.00036251715479907707,0.002941638096256741,145,0.501,3.134115725177246,0.0020706566764481437,2.8844260992709954,0.003921277815906764,0.24786249073104547,0.24786249073104547,0.4,0.7375,0.017955453314813876,16,11,12,1.0
KLF4,3.2744517721252975e-06,3.9612581081852516e-05,110,0.501,2.7120113829093135,0.007569527177243491,2.464240084004959,0.013730410681095727,0.11029413409042424,0.11029413409042424,0.4,0.825,0.00044019264758223925,10,20,13,1.0
HIF1A,0.00025482293872329255,0.0021757304748927122,92,0.501,4.010441257508163,9.50719889559998e-05,3.984802735934538,6.753620614202398e-05,0.1775159501200446,0.1775159501200446,0.3,0.845,0.014202685044438538,14,16,14,1.0
MYC,1.9618310666722378e-06,2.4320789702223042e-05,100,0.751,4.67340577288553,6.189189677970496e-06,3.6756603545371505,0.0002372349723296783,0.06978823935845867,0.06978823935845867,0.35,0.8375,0.0002857692790011207,9,24,15,1.0
ESR2,0.001722419328179382,0.011564907461116922,86,0.501,2.2158765659748205,0.028159756527569604,2.1063468389579207,0.035174235463231014,0.10676972189166752,0.10676972189166752,0.23,0.8425,0.056036149553865496,18,21,16,1.0
BCL6,0.0004119550818159406,0.0033027375582353963,46,0.626,1.9318326856208268,0.05556274818246997,1.5836292453811112,0.1132781146509146,0.07470531029787195,0.07470531029787195,0.16,0.925,0.01990111092782867,17,22,17,1.0
RUNX1,0.007592914749889379,0.04042359492158539,88,0.376,4.323853907779374,2.428277100594096e-05,3.2361287584577605,0.001211627171379727,0.22053382004437275,0.22053382004437275,0.17,0.8225,0.1358905915499272,24,15,18,1.0
IRF1,0.0027120444780731248,0.016956213338665847,127,0.251,1.4937848146779409,0.13714569975327848,1.9806005636711235,0.04763608568588115,0.07002555981763546,0.07002555981763546,0.37,0.775,0.07680137300267798,19,23,19,1.0
STAT1,0.0003125661722716364,0.0025728665584814295,50,0.626,0.62107606988678,0.5355419686594086,0.6759345936185686,0.4990821728363366,0.04200953063374171,0.04200953063374171,0.2,0.925,0.016341179493057727,15,32,20,1.0
SMAD4,0.017136618025668394,0.07845637989142372,168,0.501,1.877870670121076,0.06221513148981282,2.0831321419818964,0.037239180319722,0.0648809854723143,0.0648809854723143,0.42,0.685,0.18293417384774874,26,25,21,1.0
TFDP3,0.009344434666738852,0.04745085903707263,99,0.376,0.8577682806898759,0.3924396613215543,0.6190585860273096,0.5358777645225357,0.047696636895591275,0.047696636895591275,0.23,0.81,0.1358905915499272,25,29,22,1.0
USF1,0.026247802041209703,0.10847741722320264,89,0.376,1.4776335962238674,0.14122436540581143,1.4331206266532215,0.15182336771585006,0.04809415992619585,0.04809415992619585,0.17,0.82,0.23764346915621726,28,27,23,1.0
