"","1","2","3","4","5"
"ABL1",0.731481481481481,0.773364485981308,0.71875,0.69375,0.726485148514851
"AHR",0.488425925925926,0.616822429906542,0.675595238095238,0.48875,0.452970297029703
"AR",0.302083333333333,0.321261682242991,0.212797619047619,0.365,0.294554455445545
"ARNT",0.543981481481482,0.64018691588785,0.654761904761905,0.54375,0.534653465346535
"ASH1L",0.267361111111111,0.413551401869159,0.419642857142857,0.355,0.295792079207921
"ATF1",0.729166666666667,0.748831775700935,0.745535714285714,0.66375,0.705445544554455
"ATF2",0.59375,0.625,0.516369047619048,0.60375,0.577970297029703
"ATF4",0.3125,0.422897196261682,0.348214285714286,0.3175,0.310643564356436
"ATF5",0.145833333333333,0.139018691588785,0.163690476190476,0.1875,0.180693069306931
"ATF6",0.390046296296296,0.386682242990654,0.394345238095238,0.4,0.40470297029703
"ATM",0.479166666666667,0.483644859813084,0.488095238095238,0.46875,0.496287128712871
"BACH2",0.25,0.253504672897196,0.267857142857143,0.26125,0.251237623762376
"BCL6",0.493055555555556,0.51518691588785,0.541666666666667,0.53875,0.502475247524752
"BRCA1",0.396990740740741,0.383177570093458,0.459821428571429,0.34625,0.410891089108911
"BRPF1",0.232638888888889,0.246495327102804,0.212797619047619,0.225,0.23019801980198
"CDX2",0.299768518518518,0.279205607476635,0.313988095238095,0.25,0.334158415841584
"CEBPA",0.361111111111111,0.227803738317757,0.375,0.3775,0.377475247524752
"CEBPB",0.269675925925926,0.480140186915888,0.425595238095238,0.64,0.323019801980198
"CEBPD",0.539351851851852,0.574766355140187,0.709821428571429,0.615,0.586633663366337
"CEBPE",0.155092592592593,0.202102803738318,0.177083333333333,0.125,0.125
"CEBPZ",0.5,0.497663551401869,0.5,0.36125,0.5
"CHD4",0.383101851851852,0.5,0.477678571428571,0.5,0.496287128712871
"CIITA",0.212962962962963,0.293224299065421,0.270833333333333,0.365,0.352722772277228
"CREB1",0.179398148148148,0.188084112149533,0.205357142857143,0.19125,0.178217821782178
"CREB3",0.226851851851852,0.242990654205607,0.242559523809524,0.23125,0.22029702970297
"CREB5",0.388888888888889,0.393691588785047,0.395833333333333,0.395,0.382425742574257
"CREBBP",0.505787037037037,0.450934579439252,0.459821428571429,0.44625,0.50990099009901
"CREM",0.643518518518518,0.620327102803738,0.616071428571428,0.60625,0.611386138613861
"CTNNB1",0.575231481481482,0.488317757009346,0.458333333333333,0.6375,0.566831683168317
"DACH1",0.341435185185185,0.397196261682243,0.391369047619048,0.33,0.315594059405941
"DDIT3",0.760416666666667,0.726635514018692,0.754464285714286,0.77,0.747524752475248
"DEK",0.58912037037037,0.532710280373832,0.477678571428571,0.40625,0.398514851485149
"DMAP1",0.0289351851851852,0.0280373831775701,0.0639880952380952,0.03125,0.0111386138613861
"DNMT1",0.313657407407407,0.314252336448598,0.327380952380952,0.2975,0.33539603960396
"E2F1",0.40162037037037,0.452102803738318,0.428571428571429,0.44125,0.36509900990099
"E2F6",0.483796296296296,0.477803738317757,0.447916666666667,0.48125,0.486386138613861
"EGR1",0.368055555555556,0.206775700934579,0.334821428571429,0.25,0.35519801980198
"EGR3",0.5,0.498831775700935,0.461309523809524,0.5,0.498762376237624
"ELF1",0.5,0.5,0.5,0.5,0.5
"ELK1",0.424768518518519,0.297897196261682,0.257440476190476,0.4375,0.475247524752475
"ELK4",0.283564814814815,0.366822429906542,0.369047619047619,0.285,0.284653465346535
"ELL",0.354166666666667,0.342289719626168,0.305059523809524,0.34,0.352722772277228
"EP300",0.291666666666667,0.373831775700935,0.363095238095238,0.35625,0.284653465346535
"ERCC2",0.415509259259259,0.410046728971963,0.517857142857143,0.41875,0.382425742574257
"ERG",0.450231481481482,0.570093457943925,0.727678571428571,0.46625,0.512376237623762
"ESR1",0.616898148148148,0.595794392523364,0.584821428571429,0.6125,0.633663366336634
"ESR2",0.43287037037037,0.426401869158879,0.474702380952381,0.4775,0.446782178217822
"ESRRA",0.431712962962963,0.474299065420561,0.389880952380952,0.4325,0.449257425742574
"ETS1",0.46875,0.533878504672897,0.639880952380952,0.4975,0.405940594059406
"ETS2",0.12962962962963,0.125,0.148809523809524,0.31125,0.405940594059406
"ETV1",0.75,0.75,0.75,0.75,0.75
"ETV4",0.293981481481482,0.331775700934579,0.337797619047619,0.26625,0.288366336633663
"EZH2",0.381944444444444,0.317757009345794,0.430059523809524,0.3475,0.388613861386139
"FLI1",0.126157407407407,0.182242990654206,0.224702380952381,0.22625,0.14480198019802
"FOS",0.454861111111111,0.519859813084112,0.462797619047619,0.40125,0.418316831683168
"FOSB",0.864583333333333,0.81892523364486,0.824404761904762,0.82375,0.853960396039604
"FOSL2",0.385416666666667,0.293224299065421,0.299107142857143,0.39625,0.371287128712871
"FOXO1",0.256944444444444,0.339953271028037,0.354166666666667,0.28,0.272277227722772
"GABPA",0.666666666666667,0.641355140186916,0.733630952380952,0.64,0.672029702970297
"GABPB2",0.513888888888889,0.543224299065421,0.5,0.52,0.512376237623762
"GATA1",0.502314814814815,0.462616822429907,0.517857142857143,0.55625,0.540841584158416
"GATA2",0.280092592592593,0.344626168224299,0.430059523809524,0.25,0.25
"GATA4",0.375,0.375,0.375,0.375,0.375
"GFI1",0.625,0.625,0.625,0.625,0.625
"GLI1",0.365740740740741,0.419392523364486,0.361607142857143,0.3375,0.357673267326733
"GLI2",0.25,0.25,0.25,0.25,0.25
"GTF2I",0.386574074074074,0.386682242990654,0.422619047619048,0.40625,0.391089108910891
"HBP1",0.546296296296296,0.54088785046729,0.541666666666667,0.53375,0.538366336633663
"HDAC1",0.625,0.578271028037383,0.614583333333333,0.52875,0.564356435643564
